id,country,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR
846,Nigeria,2000,,,,
2597,Nigeria,2000,,,,
2609,Malawi,1987,,,,
2610,Malawi,1991,,,,
2858,South Africa,,,,,
8969,Nigeria,2000,,,,
31966,The Gambia,1989,=,S,S,S
31967,South Africa,1990,=,S,S,S
31968,South Africa,1991,=,S,S,S
31969,South Africa,1991,=,S,S,S
31970,Tanzania,1992,=,S,S,S
31971,Cape Verde,1998,=,S,S,S
31972,Cape Verde,1998,=,S,S,S
31973,The Gambia,1998,=,S,S,S
31974,The Gambia,1998,=,S,S,S
31975,The Gambia,1998,=,S,S,S
31976,Morocco,1998,=,S,S,S
31977,Morocco,1998,=,S,S,S
31978,Tanzania,1998,=,S,S,S
31979,Uganda,1999,=,S,S,S
31980,Angola,1999,=,S,S,S
31981,The Gambia,1999,=,S,S,S
31982,Guinea,1999,=,S,S,S
31983,Morocco,1999,=,S,S,S
31984,Guinea-Bissau,2007,=,S,S,S
31985,Guinea-Bissau,2007,=,S,S,S
31986,Guinea-Bissau,2007,=,S,S,S
31987,Guinea-Bissau,2007,=,S,S,S
31988,Guinea-Bissau,2007,=,S,S,S
31989,Guinea-Bissau,2007,=,S,S,S
31990,Guinea-Bissau,2007,=,S,S,S
31991,Guinea-Bissau,2007,=,S,S,S
31992,Guinea-Bissau,2007,=,S,S,S
31993,Guinea-Bissau,2007,=,S,S,S
31994,Guinea-Bissau,2007,=,S,S,S
31995,Guinea-Bissau,2007,=,S,S,S
31996,Guinea-Bissau,2007,=,S,S,S
31997,Guinea-Bissau,2007,=,S,S,S
31998,Guinea-Bissau,2007,=,S,S,S
31999,Guinea-Bissau,2007,=,S,S,R
32000,Guinea-Bissau,2007,=,S,S,S
32001,Guinea-Bissau,2007,=,S,S,S
32002,Guinea-Bissau,2007,=,S,S,S
32007,Guinea-Bissau,2007,=,S,S,R
32008,Guinea-Bissau,2007,=,S,S,S
32009,Guinea-Bissau,2007,=,S,S,S
32010,Guinea-Bissau,2007,=,S,S,S
32011,Guinea-Bissau,2007,=,S,S,S
36238,Kenya,2011,,,,
36239,Kenya,,,,,
36240,Kenya,2012,,,,
36241,Kenya,2013,,,,
36242,Kenya,,,,,
36243,Kenya,2012,,,,
36244,Kenya,2012,,,,
36245,Kenya,2010,,,,
36246,Kenya,2013,,,,
36247,Kenya,2013,,,,
36248,Kenya,2010,,,,
36249,Kenya,2011,,,,
36250,Kenya,2012,,,,
36251,Kenya,2013,,,,
36252,Kenya,,,,,
36253,Kenya,2013,,,,
36254,Kenya,,,,,
36255,Kenya,2010,,,,
36256,Kenya,2010,,,,
36257,Kenya,2012,,,,
36258,Kenya,,,,,
36259,Kenya,2013,,,,
36260,Kenya,,,,,
36261,Kenya,2011,,,,
36262,Kenya,,,,,
36263,Kenya,2011,,,,
36264,Kenya,,,,,
36265,Kenya,,,,,
36266,Kenya,2012,,,,
36267,Kenya,2012,,,,
36268,Kenya,2013,,,,
36269,Kenya,2012,,,,
36270,Kenya,2012,,,,
36271,Kenya,2011,,,,
36272,Kenya,,,,,
36273,Kenya,2012,,,,
36274,Kenya,2013,,,,
36275,Kenya,2011,,,,
36276,Kenya,2011,,,,
36277,Kenya,2012,,,,
36278,Kenya,,,,,
36279,Kenya,2013,,,,
36280,Kenya,2011,,,,
36281,Kenya,2011,,,,
36282,Kenya,2010,,,,
36283,Kenya,2011,,,,
36284,Kenya,2010,,,,
36285,Kenya,2010,,,,
36286,Kenya,,,,,
36287,Kenya,2010,,,,
36288,Kenya,,,,,
36289,Kenya,2010,,,,
36290,Kenya,2011,,,,
36291,Kenya,2013,,,,
36292,Kenya,2013,,,,
36293,Kenya,2010,,,,
36294,Kenya,2010,,,,
36295,Kenya,2010,,,,
36296,Kenya,2010,,,,
36297,Kenya,2012,,,,
36298,Kenya,2010,,,,
36299,Kenya,2011,,,,
36300,Kenya,,,,,
36301,Kenya,,,,,
36302,Kenya,,,,,
39081,Kenya,2014,,,,
39082,Kenya,2014,,,,
39083,Kenya,2014,,,,
39084,Kenya,2014,,,,
39085,Kenya,2014,,,,
39086,Kenya,2014,,,,
39087,Kenya,2014,,,,
39088,Kenya,2014,,,,
39089,Kenya,2014,,,,
39090,Kenya,2014,,,,
39091,Kenya,2014,,,,
39092,Kenya,2014,,,,
39093,Kenya,2014,,,,
39094,Kenya,2014,,,,
39095,Kenya,2014,,,,
39096,Kenya,2012,,,,
39097,Kenya,2012,,,,
39098,Kenya,2012,,,,
39099,Kenya,2012,,,,
39100,Kenya,2012,,,,
39101,Kenya,2013,,,,
39102,Kenya,2013,,,,
39103,Kenya,2010,,,,
39104,Kenya,2010,,,,
39105,Kenya,2010,,,,
39106,Kenya,2010,,,,
39107,Kenya,2010,,,,
39108,Kenya,2010,,,,
39109,Kenya,2010,,,,
39110,Kenya,2010,,,,
39111,Kenya,2010,,,,
39112,Kenya,2010,,,,
39113,Kenya,2010,,,,
39114,Kenya,2010,,,,
39115,Kenya,2010,,,,
39116,Kenya,2011,,,,
39117,Kenya,2011,,,,
39118,Kenya,2011,,,,
39119,Kenya,2011,,,,
39120,Kenya,2011,,,,
39121,Kenya,2011,,,,
39122,Kenya,2011,,,,
39123,Kenya,2011,,,,
39124,Kenya,2011,,,,
39125,Kenya,2011,,,,
39126,Kenya,2011,,,,
39127,Kenya,2011,,,,
39128,Kenya,2011,,,,
39129,Kenya,2011,,,,
39130,Kenya,2011,,,,
39131,Kenya,2011,,,,
39132,Kenya,2011,,,,
39133,Kenya,2011,,,,
39134,Kenya,2011,,,,
39135,Kenya,2012,,,,
39136,Kenya,2012,,,,
39137,Kenya,2015,,,,
39138,Kenya,2015,,,,
39139,Kenya,2010,,,,
