id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
138,4844/72,Czech Republic,1972,,,,,,,,false,
846,F980,Nigeria,2000,,,,,,,,false,
1213,028sp,Russia [Europe],2005,,,,,,,,false,
1214,022a,Russia [Europe],2005,,,,,,,,false,
1215,011a,Russia [Europe],2005,,,,,,,,false,
1216,006a,Russia [Europe],2005,,,,,,,,false,
1217,012a,Russia [Europe],2005,,,,,,,,false,
1218,012sp,Russia [Europe],2005,,,,,,,,false,
1219,029sp,Russia [Europe],2005,,,,,,,,false,
1220,001sp,Russia [Europe],2005,,,,,,,,false,
1221,017a,Russia [Europe],2005,,,,,,,,false,
1222,002sp,Russia [Europe],2005,,,,,,,,false,
1223,011sp,Russia [Europe],2005,,,,,,,,false,
1224,015i,Russia [Asia],2005,,,,,,,,false,
1225,009sp,Russia [Europe],2005,,,,,,,,false,
1226,001a,Russia [Europe],2005,,,,,,,,false,
1227,004a,Russia [Europe],2005,,,,,,,,false,
1228,014a,Russia [Europe],2005,,,,,,,,false,
1229,010sp,Russia [Europe],2005,,,,,,,,false,
2242,0037/92,Czech Republic,1992,,,,,,,,false,
2587,F1167,UK [England],2000,,,,,,,,false,
2588,M2178,UK [England],2000,,,,,,,,false,
2589,M2465,UK [England],2000,,,,,,,,false,
2590,GC23,UK [England],2001,,,,,,,,false,
2591,GC4,UK [England],2001,,,,,,,,false,
2592,M2336,UK [England],2000,,,,,,,,false,
2593,F1722,UK [England],2000,,,,,,,,false,
2594,GC1,UK [England],2001,,,,,,,,false,
2595,GC21,UK [England],2001,,,,,,,,false,
2596,GC40,UK [England],2001,,,,,,,,false,
2597,F982,Nigeria,2000,,,,,,,,false,
2598,M1959,UK [England],2000,,,,,,,,false,
2599,M2183,UK [England],2000,,,,,,,,false,
2600,M1651,UK [England],2000,,,,,,,,false,
2601,M1635,UK [England],2000,,,,,,,,false,
2602,M1743,UK [England],2000,,,,,,,,false,
2603,F971055,UK [England],2000,,,,,,,,false,
2604,F1677,UK [England],2000,,,,,,,,false,
2605,GC14,UK [England],2001,,,,,,,,false,
2606,GC15,UK [England],2001,,,,,,,,false,
2607,GC29,UK [England],2001,,,,,,,,false,
2608,GC31,UK [England],2001,,,,,,,,false,
2609,C774,Malawi,1987,,,,,,,,false,
2610,D779,Malawi,1991,,,,,,,,false,
2845,25563,Unknown,,,,,,,,,false,
2846,27833,Pakistan,,,,,,,,,false,
2847,26399,Unknown,,,,,,,,,false,
2848,27806,UK [England],,,,,,,,,false,
2849,25527,Unknown,,,,,,,,,false,
2850,26775,Unknown,,,,,,,,,false,
2851,29214,China,,,,,,,,,false,
2852,25448,UK [England],,,,,,,,,false,
2853,28386,UK [England],,,,,,,,,false,
2854,25534,Unknown,,,,,,,,,false,
2855,FA1090,USA,1980,,7,102,19,14,17,6,false,
2856,F62,Unknown,,,,,,,,,false,
2857,27361,UK [England],,,,,,,,,false,
2858,22159,South Africa,,,,,,,,,false,
2859,27886,Bangladesh,,,,,,,,,false,
2860,23372,Thailand,,,,,,,,,false,
2861,27921,Uzbekistan,,,,,,,,,false,
2862,26034,Unknown,,,,,,,,,false,
2873,F82/2262,UK [England],1982,,,,,,,,false,
2874,F82/2269,UK [England],1982,,,,,,,,false,
2875,AX/1484,UK [England],1981,,,,,,,,false,
2876,BG/2067,UK [England],1989,,,,,,,,false,
2877,F82/1075,UK [England],1982,,,,,,,,false,
2878,F82/1739,UK [England],1982,,,,,,,,false,
2879,F86/1736,UK [England],1986,,,,,,,,false,
2880,F86/1674,UK [England],1986,,,,,,,,false,
2881,F81/1546,UK [England],1981,,,,,,,,false,
2882,F86/1366,UK [England],1986,,,,,,,,false,
2883,BD/375,UK [England],1986,,,,,,,,false,
2884,AX/1528,UK [England],1981,,,,,,,,false,
2885,F87/833,UK [England],1987,,,,,,,,false,
2886,BE/445,UK [England],1987,,,,,,,,false,
2887,AX/1729,UK [England],1981,,,,,,,,false,
2888,F81/1501,UK [England],1981,,,,,,,,false,
2889,F88/1569,UK [England],1988,,,,,,,,false,
2890,F81/1500,UK [England],1981,,,,,,,,false,
2918,AX/1855,UK [England],1981,,,,,,,,false,
2919,AX/591,UK [England],1981,,,,,,,,false,
2920,F87/1720,UK [England],1987,,,,,,,,false,
2921,BE/2106,UK [England],1987,,,,,,,,false,
5580,A1723,Greece,1997,,,,,,,,false,
5682,TUM12080,Japan,2010,,,,,,,,false,
6734,A1725,Unknown,1997,,,,,,,,false,
6736,A1898,Greece,1999,,,,,,,,false,
6945,A2332,Greece,2004,,,,,,,,false,
7145,22584,USA,,,,,,,,,false,
7146,27728,UK [England],,,,,,,,,false,
7147,28252,UK [Wales],,,,,,,,,false,
