ST,Frequency,Percentage
1632,100,21.55
1623,28,6.03
1627,19,4.09
1628,17,3.66
427,15,3.23
1835,14,3.02
1496,14,3.02
269,10,2.16
1645,9,1.94
1304,9,1.94
1643,7,1.51
3430,7,1.51
438,6,1.29
1758,6,1.29
1749,6,1.29
357,6,1.29
3404,6,1.29
5642,6,1.29
1625,6,1.29
5205,6,1.29
5242,5,1.08
1593,5,1.08
3426,5,1.08
3408,5,1.08
1624,4,0.86
520,4,0.86
455,4,0.86
5508,4,0.86
1930,4,0.86
4322,4,0.86
1626,4,0.86
4735,4,0.86
1654,3,0.65
63,3,0.65
4728,3,0.65
463,3,0.65
1543,3,0.65
352,3,0.65
1771,3,0.65
157,3,0.65
5961,3,0.65
5664,3,0.65
1629,3,0.65
1641,2,0.43
464,2,0.43
467,2,0.43
577,2,0.43
1274,2,0.43
1639,2,0.43
1760,2,0.43
1834,2,0.43
1938,2,0.43
1943,2,0.43
1972,2,0.43
1973,2,0.43
2577,2,0.43
2717,2,0.43
4809,2,0.43
1759,1,0.22
426,1,0.22
1767,1,0.22
1768,1,0.22
1769,1,0.22
1642,1,0.22
1833,1,0.22
184,1,0.22
1640,1,0.22
1865,1,0.22
1637,1,0.22
162,1,0.22
5695,1,0.22
5817,1,0.22
5822,1,0.22
2057,1,0.22
5823,1,0.22
2593,1,0.22
90,1,0.22
3100,1,0.22
3366,1,0.22
1635,1,0.22
1631,1,0.22
3413,1,0.22
1630,1,0.22
1603,1,0.22
3434,1,0.22
1271,1,0.22
4413,1,0.22
1210,1,0.22
1096,1,0.22
4746,1,0.22
6299,1,0.22
5191,1,0.22
5195,1,0.22
5198,1,0.22
5204,1,0.22
898,1,0.22
5208,1,0.22
5212,1,0.22
5213,1,0.22
567,1,0.22
5251,1,0.22
1648,1,0.22
1650,1,0.22
1652,1,0.22
1647,1,0.22
1747,1,0.22
1646,1,0.22
1753,1,0.22
1756,1,0.22
1644,1,0.22
