id,isolate,country,year,private_record,private_owner
846,F980,Nigeria,2000,false,
2597,F982,Nigeria,2000,false,
2609,C774,Malawi,1987,false,
2610,D779,Malawi,1991,false,
2858,22159,South Africa,,false,
8969,F981,Nigeria,2000,false,
31966,02_225,The Gambia,1989,false,
31967,02_227,South Africa,1990,false,
31968,02_228,South Africa,1991,false,
31969,02_229,South Africa,1991,false,
31970,02_230,Tanzania,1992,false,
31971,989000020,Cape Verde,1998,false,
31972,989000035,Cape Verde,1998,false,
31973,989000005,The Gambia,1998,false,
31974,989000046,The Gambia,1998,false,
31975,989000266,The Gambia,1998,false,
31976,989000418,Morocco,1998,false,
31977,989000421,Morocco,1998,false,
31978,989000016,Tanzania,1998,false,
31979,999000083,Uganda,1999,false,
31980,999000018,Angola,1999,false,
31981,999000055,The Gambia,1999,false,
31982,999000051,Guinea,1999,false,
31983,999000073,Morocco,1999,false,
31984,08_590_00123,Guinea-Bissau,2007,false,
31985,08_590_125,Guinea-Bissau,2007,false,
31986,08_590_00126,Guinea-Bissau,2007,false,
31987,08_590_00127,Guinea-Bissau,2007,false,
31988,08_590_00128,Guinea-Bissau,2007,false,
31989,08_590_00129,Guinea-Bissau,2007,false,
31990,08_590_00130,Guinea-Bissau,2007,false,
31991,08_590_00131,Guinea-Bissau,2007,false,
31992,08_590_00132,Guinea-Bissau,2007,false,
31993,08_590_00133,Guinea-Bissau,2007,false,
31994,08_590_00134,Guinea-Bissau,2007,false,
31995,08_590_00135,Guinea-Bissau,2007,false,
31996,08_590_00136,Guinea-Bissau,2007,false,
31997,08_590_00141,Guinea-Bissau,2007,false,
31998,08_590_00142,Guinea-Bissau,2007,false,
31999,08_590_00143,Guinea-Bissau,2007,false,
32000,08_590_00144,Guinea-Bissau,2007,false,
32001,08_590_00145,Guinea-Bissau,2007,false,
32002,08_590_00146,Guinea-Bissau,2007,false,
32007,08_590_00153,Guinea-Bissau,2007,false,
32008,08_590_00154,Guinea-Bissau,2007,false,
32009,08_590_00156,Guinea-Bissau,2007,false,
32010,08_590_00157,Guinea-Bissau,2007,false,
32011,08_590_00138_pg_r,Guinea-Bissau,2007,false,
36238,51212,Kenya,2011,false,
36239,T004,Kenya,,false,
36240,52262,Kenya,2012,false,
36241,T006,Kenya,2013,false,
36242,T007,Kenya,,false,
36243,57547,Kenya,2012,false,
36244,56873,Kenya,2012,false,
36245,44568,Kenya,2010,false,
36246,61467,Kenya,2013,false,
36247,62017,Kenya,2013,false,
36248,43305,Kenya,2010,false,
36249,51451,Kenya,2011,false,
36250,58767,Kenya,2012,false,
36251,63179,Kenya,2013,false,
36252,T032,Kenya,,false,
36253,61450,Kenya,2013,false,
36254,T034,Kenya,,false,
36255,45453,Kenya,2010,false,
36256,45676,Kenya,2010,false,
36257,51960,Kenya,2012,false,
36258,T041,Kenya,,false,
36259,61580,Kenya,2013,false,
36260,T047,Kenya,,false,
36261,48871,Kenya,2011,false,
36262,T049,Kenya,,false,
36263,48501,Kenya,2011,false,
36264,T052,Kenya,,false,
36265,T053,Kenya,,false,
36266,60096,Kenya,2012,false,
36267,55496,Kenya,2012,false,
36268,T060,Kenya,2013,false,
36269,52263,Kenya,2012,false,
36270,59688,Kenya,2012,false,
36271,50659,Kenya,2011,false,
36272,T064,Kenya,,false,
36273,55798,Kenya,2012,false,
36274,63518,Kenya,2013,false,
36275,51468,Kenya,2011,false,
36276,51645,Kenya,2011,false,
36277,59012,Kenya,2012,false,
36278,T071,Kenya,,false,
36279,60243,Kenya,2013,false,
36280,47956,Kenya,2011,false,
36281,47686,Kenya,2011,false,
36282,45029,Kenya,2010,false,
36283,47147,Kenya,2011,false,
36284,44593,Kenya,2010,false,
36285,43346,Kenya,2010,false,
36286,T083,Kenya,,false,
36287,43781,Kenya,2010,false,
36288,T087,Kenya,,false,
36289,42974,Kenya,2010,false,
36290,47983,Kenya,2011,false,
36291,60755,Kenya,2013,false,
36292,60709,Kenya,2013,false,
36293,43000,Kenya,2010,false,
36294,43038,Kenya,2010,false,
36295,46146,Kenya,2010,false,
36296,44569,Kenya,2010,false,
36297,52492,Kenya,2012,false,
36298,T101,Kenya,2010,false,
36299,46445,Kenya,2011,false,
36300,T104,Kenya,,false,
36301,T105,Kenya,,false,
36302,T106,Kenya,,false,
39081,64204,Kenya,2014,false,
39082,64500,Kenya,2014,false,
39083,64579,Kenya,2014,false,
39084,64605,Kenya,2014,false,
39085,64680,Kenya,2014,false,
39086,64586,Kenya,2014,false,
39087,64361,Kenya,2014,false,
39088,64755,Kenya,2014,false,
39089,64203,Kenya,2014,false,
39090,65080,Kenya,2014,false,
39091,65318,Kenya,2014,false,
39092,65320,Kenya,2014,false,
39093,65551,Kenya,2014,false,
39094,65600,Kenya,2014,false,
39095,65737,Kenya,2014,false,
39096,56474,Kenya,2012,false,
39097,56327,Kenya,2012,false,
39098,56682,Kenya,2012,false,
39099,56835,Kenya,2012,false,
39100,57568,Kenya,2012,false,
39101,63971,Kenya,2013,false,
39102,63748,Kenya,2013,false,
39103,45858,Kenya,2010,false,
39104,45722,Kenya,2010,false,
39105,44941,Kenya,2010,false,
39106,45388,Kenya,2010,false,
39107,45715,Kenya,2010,false,
39108,45910,Kenya,2010,false,
39109,43208 -1,Kenya,2010,false,
39110,43208 -2,Kenya,2010,false,
39111,43210,Kenya,2010,false,
39112,44271,Kenya,2010,false,
39113,42876,Kenya,2010,false,
39114,44254,Kenya,2010,false,
39115,43306,Kenya,2010,false,
39116,46745,Kenya,2011,false,
39117,47244,Kenya,2011,false,
39118,47954,Kenya,2011,false,
39119,47547,Kenya,2011,false,
39120,47548,Kenya,2011,false,
39121,48183,Kenya,2011,false,
39122,48763,Kenya,2011,false,
39123,48437,Kenya,2011,false,
39124,48563,Kenya,2011,false,
39125,48848,Kenya,2011,false,
39126,48213,Kenya,2011,false,
39127,48502,Kenya,2011,false,
39128,48406,Kenya,2011,false,
39129,50040,Kenya,2011,false,
39130,49506,Kenya,2011,false,
39131,49676,Kenya,2011,false,
39132,49719,Kenya,2011,false,
39133,50869,Kenya,2011,false,
39134,51751,Kenya,2011,false,
39135,52057,Kenya,2012,false,
39136,52441,Kenya,2012,false,
39137,65907,Kenya,2015,false,
39138,66098,Kenya,2015,false,
39139,42978,Kenya,2010,false,
59511,KNY_NGAMR/9,Kenya,2016,false,
60436,KNY_NGAMR/1,Kenya,2014,false,
60437,KNY_NGAMR9p,Kenya,2016,false,
60439,KNY_NGAMR26,Kenya,2016,false,
60440,KNY_NGAMR27,Kenya,2016,false,
60441,KNY_NGAMR30p,Kenya,2017,false,
60442,KNY_NGAMR33,Kenya,2016,false,
60501,KNY_NGAMR2,Kenya,2014,false,
60502,KNY_NGAMR3,Kenya,2014,false,
60503,KNY_NGAMR4,Kenya,2016,false,
60504,KNY_NGAMR5,Kenya,2015,false,
60505,KNY_NGAMR6,Kenya,2015,false,
60506,KNY_NGAMR7,Kenya,2015,false,
60507,KNY_NGAMR8,Kenya,2015,false,
60508,KNY_NGAMR10,Kenya,2016,false,
60509,KNY_NGAMR11,Kenya,2016,false,
60510,KNY_NGAMR23,Kenya,2014,false,
60511,KNY_NGAMR14,Kenya,2013,false,
60512,KNY_NGAMR20,Kenya,2014,false,
60513,KNY_NGAMR17,Kenya,2016,false,
60514,KNY_NGAMR18,Kenya,2014,false,
60515,KNY_NGAMR19,Kenya,2015,false,
60516,KNY_NGAMR15,Kenya,2016,false,
60517,KNY_NGAMR21,Kenya,2015,false,
60518,KNY_NGAMR22,Kenya,2015,false,
60519,KNY_NGAMR13,Kenya,2016,false,
60520,KNY_NGAMR24,Kenya,2014,false,
60521,KNY_NGAMR28,Kenya,2017,false,
60522,KNY_NGAMR29,Kenya,2017,false,
60523,KNY_NGAMR31,Kenya,2017,false,
60524,KNY_NGAMR32,Kenya,2017,false,
60525,KNY_NGAMR35,Kenya,2013,false,
60526,KNY_NGAMR41,Kenya,2018,false,
60527,KNY_NGAMR42,Kenya,2018,false,
60528,KNY_NGAMR50,Kenya,2018,false,
60530,KNY_NGAMR53,Kenya,2018,false,
60531,KNY_NGAMR54,Kenya,2018,false,
61382,IC_CNR077,Ivory Coast,2012,false,
61383,IC_15039,Ivory Coast,2012,false,
89182,15MUS-Pl003,South Africa,2015,false,
89183,15MUS-Pl044,South Africa,2015,false,
89185,15MUS-Pl098,South Africa,2015,false,
89186,17MUS-AH083,South Africa,2017,false,
89187,17MUS-AH094,South Africa,2017,false,
89188,17MUS-AH118,South Africa,2017,false,
89189,17MUS-AH035,South Africa,2017,false,
89190,15MUS-PI063,South Africa,2015,false,
89194,17MUS-AH070,South Africa,2017,false,
89195,15MUS-PI091,South Africa,2015,false,
89196,17MUS-AH060,South Africa,2017,false,
89197,15MUS-PI005,South Africa,2015,false,
89198,15MUS-PI092,South Africa,2015,false,
89199,17MUS-AH077,South Africa,2017,false,
89200,17MUS-AH017,South Africa,2017,false,
92898,JR-409,South Africa,2019,false,
92899,JR-413,South Africa,2019,false,
92900,JR-414,South Africa,2019,false,
92901,JR-412,South Africa,2018,false,
92902,JR-403,South Africa,2019,false,
92903,JR-401,South Africa,2019,false,
93214,G176,South Africa,2019,false,
95771,GHA-ADB-055,Ghana,2014,false,
95772,GHA-ADB-088,Ghana,2014,false,
95773,GHA-ADB-095,Ghana,2014,false,
95774,GHA-ADB-099,Ghana,2014,false,
95775,GHA-ADB-129,Ghana,2014,false,
95776,GHA-ADB-135,Ghana,2014,false,
95777,GHA-ADB-191,Ghana,2015,false,
95778,GHA-ADB-216,Ghana,2015,false,
95779,GHA-ADB-230,Ghana,2015,false,
95780,GHA-ARM-046,Ghana,2013,false,
95781,GHA-ARM-069,Ghana,2013,false,
95782,GHA-ARM-073,Ghana,2013,false,
95783,GHA-ARM-106,Ghana,2014,false,
95784,GHA-ARM-127,Ghana,2014,false,
95785,GHA-ARM-163,Ghana,2015,false,
95786,GHA-ARM-165,Ghana,2015,false,
95787,GHA-NAV-029,Ghana,2019,false,
95788,GHA-NAV-031,Ghana,2019,false,
95789,GHA-NAV-040,Ghana,2014,false,
95790,GHA-TMH-040,Ghana,2012,false,
95791,GHA-TMH-042,Ghana,2012,false,
95792,GHA-TMH-050,Ghana,2012,false,
95793,GHA-TMH-067,Ghana,2012,false,
95794,GHA-TMH-068,Ghana,2012,false,
95795,GHA-TMH-074,Ghana,2012,false,
95796,GHA-TMH-455,Ghana,2015,false,
95797,GHA-TMH-458,Ghana,2015,false,
95798,GHA-TMH-462,Ghana,2015,false,
95799,GHA-TMH-465,Ghana,2015,false,
95800,GHA-TMH-484,Ghana,2015,false,
95801,GHA-TMH-537,Ghana,2015,false,
95802,GHA-ADB-284,Ghana,2018,false,
95803,GHA-ADB-297,Ghana,2018,false,
95804,GHA-ADB-340,Ghana,2019,false,
95805,GHA-ADB-342,Ghana,2019,false,
95806,GHA-ADB-347,Ghana,2019,false,
95807,GHA-ADB-348,Ghana,2019,false,
95808,GHA-ADB-360,Ghana,2019,false,
95809,GHA-ADB-369,Ghana,2019,false,
95810,GHA-AIR-053,Ghana,2019,false,
95811,GHA-AIR-057,Ghana,2019,false,
95812,GHA-AIR-058,Ghana,2019,false,
95813,GHA-ARM-233,Ghana,2018,false,
95814,GHA-ARM-285,Ghana,2019,false,
95815,GHA-ARM-288,Ghana,2019,false,
95816,GHA-ARM-299,Ghana,2019,false,
95817,GHA-TMH-588,Ghana,2018,false,
95818,GHA-TMH-594,Ghana,2018,false,
95819,GHA-TMH-612,Ghana,2018,false,
95820,GHA-TMH-619,Ghana,2018,false,
95821,GHA-TMH-624,Ghana,2018,false,
96169,R3,South Africa,2013,false,
96170,R6,South Africa,2013,false,
96171,R48,South Africa,2014,false,
96172,R59,South Africa,2014,false,
96173,R63,South Africa,2014,false,
96174,R73,South Africa,2014,false,
97776,GENT058_YB,Malawi,2018,false,
97777,GENT067,Malawi,2018,false,
97778,GENT068,Malawi,2018,false,
97779,GENT070,Malawi,2018,false,
97780,GENT092,Malawi,2018,false,
97781,GENT096,Malawi,2018,false,
97782,GENT135,Malawi,2018,false,
97783,GENT143,Malawi,2018,false,
97784,GENT146,Malawi,2018,false,
105972,18,Kenya,2012,false,
105973,61,Kenya,2012,false,
105974,3,Kenya,2012,false,
105975,12,Kenya,2012,false,
105976,57,Kenya,2012,false,
105977,100A,Kenya,2012,false,
105978,240,Kenya,2012,false,
105979,274,Kenya,2012,false,
105980,285,Kenya,2012,false,
105981,298,Kenya,2012,false,
106122,1107_Kenya,Kenya,2017,false,
106123,1284_Kenya,Kenya,2016,false,
106124,1912_Kenya,Kenya,2016,false,
106125,1912-5_Kenya,Kenya,2017,false,
106126,2086_Kenya,Kenya,2018,false,
106127,2172_Kenya,Kenya,2016,false,
106128,2245_Kenya,Kenya,2017,false,
106129,2250_Kenya,Kenya,2017,false,
106130,2320_Kenya,Kenya,2016,false,
106131,2350_Kenya,Kenya,2016,false,
106132,2372_Kenya,Kenya,2016,false,
106133,2416_Kenya,Kenya,2018,false,
106134,2435_Kenya,Kenya,2016,false,
106135,2438_Kenya,Kenya,2017,false,
106136,2533_Kenya,Kenya,2016,false,
106137,2537_Kenya,Kenya,2016,false,
106138,2560_Kenya,Kenya,2016,false,
106139,2564_Kenya,Kenya,2018,false,
106140,2628_Kenya,Kenya,2017,false,
106141,2643_Kenya,Kenya,2016,false,
106142,2664_Kenya,Kenya,2016,false,
106143,2665_Kenya,Kenya,2017,false,
106144,2665-25_Kenya,Kenya,2017,false,
106145,2687_Kenya,Kenya,2016,false,
106146,2694_Kenya,Kenya,2016,false,
106147,2695_Kenya,Kenya,2016,false,
106148,2699_Kenya,Kenya,2018,false,
106149,2710_Kenya,Kenya,2018,false,
106150,2728_Kenya,Kenya,2018,false,
106151,2730_Kenya,Kenya,2017,false,
106152,2783_Kenya,Kenya,2016,false,
106153,2796_Kenya,Kenya,2019,false,
106154,2801_Kenya,Kenya,2016,false,
106155,2822_Kenya,Kenya,2017,false,
106156,2852_Kenya,Kenya,2017,false,
106157,2875_Kenya,Kenya,2017,false,
106158,2901_Kenya,Kenya,2017,false,
106159,2903_Kenya,Kenya,2018,false,
106160,2921_Kenya,Kenya,2017,false,
106161,2932_Kenya,Kenya,2017,false,
106162,3103_Kenya,Kenya,2019,false,
106163,3107_Kenya,Kenya,2019,false,
106164,3140_Kenya,Kenya,2020,false,
106165,3313_Kenya,Kenya,2020,false,
106166,00N210012_Kenya,Kenya,2019,false,
106167,33100099_Kenya,Kenya,2020,false,
109097,SA2018-601,South Africa,2018,false,
109098,SA2018-602,South Africa,2018,false,
109099,SA2018-603,South Africa,2018,false,
109100,SA2018-604,South Africa,2018,false,
109101,SA2018-605,South Africa,2018,false,
109102,SA2018-606,South Africa,2018,false,
109103,SA2018-607,South Africa,2018,false,
109104,SA2018-609,South Africa,2018,false,
109105,SA2018-610,South Africa,2018,false,
109106,SA2018-611,South Africa,2018,false,
109107,SA2018-612,South Africa,2018,false,
109108,SA2018-613,South Africa,2018,false,
109109,SA2018-614,South Africa,2018,false,
109110,SA2018-615,South Africa,2018,false,
109111,SA2019-810,South Africa,2019,false,
109112,SA2019-812,South Africa,2019,false,
109113,SA2019-813,South Africa,2019,false,
109114,SA2019-814,South Africa,2019,false,
109115,SA2019-815,South Africa,2019,false,
109116,SA2019-816,South Africa,2019,false,
109117,SA2019-817,South Africa,2019,false,
109118,SA2019-818,South Africa,2019,false,
109119,SA2019-819,South Africa,2019,false,
109120,SA2018-820,South Africa,2018,false,
109121,SA2018-821,South Africa,2018,false,
111732,GHA-TMH-633,Ghana,2018,false,
111733,GHA-TMH-657,Ghana,2019,false,
111734,GHA-TMH-663,Ghana,2019,false,
111735,GHA-TMH-679,Ghana,2019,false,
111736,GHA-TMH-685,Ghana,2019,false,
115183,19MUS-SR081,South Africa,2019,false,
115184,21MUS-AH021,South Africa,2021,false,
115185,21MUS-AH105,South Africa,2021,false,
116222,UG010,Uganda,2018,false,
116223,UG117,Uganda,2018,false,
116224,UG182,Uganda,2018,false,
116225,UG197,Uganda,2018,false,
116226,UG245,Uganda,2018,false,
116227,UG278,Uganda,2018,false,
116228,UG282,Uganda,2018,false,
116229,UG290,Uganda,2018,false,
116230,UG323,Uganda,2018,false,
116231,UG055,Uganda,2018,false,
116232,UG224,Uganda,2018,false,
116233,UG009,Uganda,2018,false,
116234,UG052,Uganda,2018,false,
116235,UG296,Uganda,2018,false,
116236,UG440,Uganda,2018,false,
116237,UG221,Uganda,2018,false,
116238,UG040,Uganda,2018,false,
116239,UG474,Uganda,2018,false,
116240,UG501,Uganda,2018,false,
116241,UG162,Uganda,2018,false,
