id,isolate,country,azithromycin_mic,cefixime_mic,ceftriaxone_mic
27268,GCGS0180,USA,0.25,0.015,0.015
27269,GCGS0188,USA,0.25,0.03,0.015
27272,GCGS0212,USA,0.25,0.03,0.015
27275,GCGS0210,USA,0.25,0.03,0.015
27276,GCGS0008,USA,0.25,0.015,0.008
27277,GCGS0186,USA,0.25,0.03,0.03
27278,GCGS0216,USA,0.25,0.015,0.015
27279,GCGS0090,USA,0.25,0.015,0.008
27281,GCGS0146,USA,0.25,0.03,0.008
31480,EST_10_11TK,Estonia,0.125,0.016,0.012
31491,POL_10_24,Poland,0.016,0.016,0.004
31497,EST_11_8,Estonia,0.5,0.016,0.012
31498,EST_11_14,Estonia,0.38,0.016,0.012
31507,POL_11_89,Poland,0.19,0.016,0.023
31511,EST_12_19,Estonia,0.125,0.016,0.016
31518,SI12-32,Slovenia,0.094,0.016,0.008
31550,BX4109,Pakistan,0.19,0.016,0.012
31606,590_345,Unknown,,,
31607,590_2,Unknown,,,
31626,NO_09_HUS20,Norway,0.25,0.016,0.023
31630,SI09_11,Slovenia,0.125,0.016,0.012
31637,POL_10_17,Poland,0.047,0.016,0.004
31640,SI10_05,Slovenia,0.125,0.016,0.008
31708,08_590_8,Thailand,0.125,0.016,0.006
31717,BX7087,Pakistan,0.19,0.016,0.012
31732,BX4094,Pakistan,0.064,0.016,0.008
31736,SI11-01,Slovenia,0.125,0.016,0.016
31737,GC0801038,Philippines,0.125,0.016,
31748,08_590_278,Thailand,0.064,0.032,0.004
31750,NO_09_3581,Norway,0.25,0.016,0.012
31753,08_590_57,Thailand,,,
31760,08_590_210,Vietnam,0.125,0.023,0.016
31810,08_590_231,Thailand,0.125,0.032,0.008
31951,01_30,Vietnam,0.094,0.016,0.012
32014,590_313,Unknown,,,
32022,590_275,Unknown,,,
34768,ALB_2011_03_03,USA,,,
34771,ATL_2011_01_05,USA,,,
36242,T007,Kenya,,,
36250,58767,Kenya,,,
36254,T034,Kenya,,,
36291,60755,Kenya,,,
37112,GCGS0396,USA,0.125,0.015,0.008
37114,GCGS0398,USA,0.03,0.015,0.008
37135,GCGS0321,USA,0.25,0.015,0.008
37136,GCGS0331,USA,0.25,0.015,0.008
37138,GCGS0334,USA,0.25,0.015,0.008
37140,GCGS0346,USA,0.03,0.015,0.008
37141,GCGS0739,USA,0.06,0.06,0.015
37145,GCGS0383,USA,0.125,0.015,0.008
37159,GCGS0730,USA,0.5,0.06,0.03
37164,GCGS0603,USA,0.125,0.03,0.008
37165,GCGS0764,USA,0.25,0.06,0.03
37175,GCGS0667,USA,0.5,0.03,0.015
37176,GCGS0469,USA,0.25,0.015,0.008
37180,GCGS0494,USA,0.125,0.015,0.008
37204,GCGS0495,USA,0.25,0.015,0.008
37409,GCGS0514,USA,0.03,0.015,0.015
37411,11CFX_C_065,USA,,,
37466,GCGS0666,USA,0.5,0.03,0.015
39097,56327,Kenya,,,
45038,EXNG238,Australia,0.5,,0.008
45042,EXNG283,Australia,0.5,,0.008
46877,533451,Norway,0.125,0.016,0.008
46878,530591,Norway,0.064,0.016,0.004
46922,539457,Norway,0.064,0.016,0.008
46929,539437,Norway,0.032,0.016,0.008
46944,538583,Norway,0.064,0.016,0.008
47032,GNCWGS_0712_63,China,,,
47040,GNCWGS_03A0_78,China,,,
47041,GNCWGS_03AR_104,China,,,
47354,SRR3343480,UK [England],,,
47400,SRR3343526,UK [Wales],,,
47429,SRR3343555,UK [England],,,
47467,SRR3343594,UK [Wales],,,
47490,SRR3343618,UK [England],,,
47534,SRR3343669,UK [England],,,
47626,SRR3349227,UK [England],,,
47647,SRR3349248,UK [England],,,
47669,SRR3349270,UK [England],,,
47719,SRR3349320,UK [England],,,
47750,SRR3349517,UK [England],,,
47764,SRR3349533,UK [England],,,
47781,SRR3349551,UK [England],,,
47794,SRR3349565,UK [England],,,
47861,SRR3349638,UK [England],,,
47862,SRR3349639,UK [England],,,
47867,SRR3349645,UK [England],,,
47868,SRR3349646,UK [England],,,
47876,SRR3349655,UK [England],,,
47877,SRR3349656,UK [England],,,
47884,SRR3349664,UK [England],,,
47887,SRR3349667,UK [England],,,
47895,SRR3349676,UK [England],,,
47907,SRR3349689,UK [England],,,
47925,SRR3349708,UK [England],,,
47936,SRR3349719,UK [England],,,
47958,SRR3349822,UK [England],,,
48013,SRR3349878,UK [England],,,
48015,SRR3349880,UK [England],,,
48025,SRR3349890,UK [England],,,
48126,SRR3349991,UK [England],,,
48237,SRR3350174,UK [England],,,
48243,SRR3350180,UK [England],,,
48290,SRR3350228,UK [England],,,
48315,SRR3350253,UK [England],,,
48325,SRR3350263,UK [England],,,
48361,SRR3357024,UK [England],,,
48376,SRR3357047,UK [England],,,
48620,SRR3360606,UK [England],0.125,0.008,
48629,SRR3360615,UK [England],0.125,0.008,
48638,SRR3360624,UK [England],0.125,0.002,
48639,SRR3360625,UK [England],0.125,0.008,
48643,SRR3360629,UK [England],0.125,0.008,
48648,SRR3360634,UK [England],0.125,0.008,
48665,SRR3360651,UK [England],0.03,0.008,
48686,SRR3360672,UK [England],0.125,0.008,
48692,SRR3360678,UK [England],0.25,0.008,
48705,SRR3360691,UK [England],0.125,0.015,
48711,SRR3360697,UK [England],0.125,0.008,
48750,SRR3360736,UK [England],0.125,0.03,
48763,SRR3360750,UK [England],0.125,0.03,
48825,SRR3360857,UK [England],,,
48828,SRR3360860,UK,,,
48833,SRR3360865,UK [England],,,
48835,SRR3360867,UK [England],0.06,0.015,
48862,SRR3360894,UK [England],,,
48941,SRR3360976,UK [England],,,
49202,SRR3361341,UK [England],0.03,0.008,
50482,541000,Norway,0.064,0.016,0.008
50483,541004,Norway,0.064,0.016,0.008
50491,542849,Norway,0.125,0.016,0.004
51099,549070,Norway,0.064,0.016,0.004
51100,549082,Norway,0.064,0.016,0.008
51115,552472,Norway,0.25,0.016,0.004
51668,552856,Norway,0.25,0.016,0.016
51683,553599,Norway,0.25,0.064,0.032
51688,553619,Norway,0.032,0.016,0.004
51692,553637,Norway,0.032,0.016,0.004
51698,553826,Norway,0.25,0.016,0.008
51729,552703,Norway,0.25,0.016,0.008
51748,553724,Norway,0.25,0.032,0.064
51763,554556,Norway,0.064,0.016,0.008
51802,555827,Norway,0.064,0.016,0.004
51819,554613,Norway,0.125,0.016,0.008
52163,552586,Norway,0.25,0.016,0.008
52167,552832,Norway,0.5,0.032,0.032
52768,Ng53-42,Australia,,,
53616,562974,Norway,0.125,0.064,0.032
53625,567117,Norway,0.25,0.016,0.016
53644,562564,Norway,0.064,0.016,0.004
54274,LRRBGS_0042,Brazil,0.5,0.125,0.015
54278,LRRBGS_0046,Brazil,1,0.125,0.015
54292,LRRBGS_0060,Brazil,0.064,0.004,0.004
54313,LRRBGS_0081,Brazil,0.25,0.063,0.032
54315,LRRBGS_0083,Brazil,0.032,0.016,0.008
54316,LRRBGS_0084,Brazil,0.25,0.063,0.032
54319,LRRBGS_0087,Brazil,0.25,0.063,0.032
54320,LRRBGS_0088,Brazil,0.032,0.016,0.004
54330,LRRBGS_0098,Brazil,0.125,0.032,0.016
54332,LRRBGS_0100,Brazil,0.032,0.016,0.008
54337,LRRBGS_0105,Brazil,0.125,0.032,0.016
54342,LRRBGS_0110,Brazil,0.125,0.063,0.032
54345,LRRBGS_0113,Brazil,0.125,0.032,0.016
54348,LRRBGS_0116,Brazil,0.125,0.032,0.016
54354,LRRBGS_0122,Brazil,0.032,0.008,0.004
54355,LRRBGS_0123,Brazil,0.125,0.016,0.008
54356,LRRBGS_0124,Brazil,0.063,0.016,0.008
54364,LRRBGS_0132,Brazil,0.032,0.008,0.004
54365,LRRBGS_0133,Brazil,0.032,0.032,0.008
54374,LRRBGS_0142,Brazil,0.25,0.016,0.016
54376,LRRBGS_0144,Brazil,0.125,0.016,0.032
54377,LRRBGS_0145,Brazil,0.063,0.016,0.008
54379,LRRBGS_0147,Brazil,0.25,0.016,0.008
54381,LRRBGS_0149,Brazil,0.125,0.016,0.016
56149,567930,Norway,0.064,0.016,0.004
56203,575779,Norway,0.25,0.032,0.016
56222,570384,Norway,0.064,0.016,0.004
56227,572278,Norway,0.125,0.016,0.008
56257,591244,Norway,0.125,0.016,0.008
57973,190440,Ireland,0.032,0.016,0.004
60441,KNY_NGAMR30p,Kenya,0.125,0.016,0.002
60496,Ngiss3930,Italy,,,
60507,KNY_NGAMR8,Kenya,0.25,0.016,0.002
60509,KNY_NGAMR11,Kenya,0.25,0.016,0.016
60510,KNY_NGAMR23,Kenya,0.125,0.016,0.002
60512,KNY_NGAMR20,Kenya,0.125,0.016,0.004
60516,KNY_NGAMR15,Kenya,0.5,0.016,0.016
60517,KNY_NGAMR21,Kenya,0.125,0.016,0.016
60519,KNY_NGAMR13,Kenya,0.125,0.016,0.002
60524,KNY_NGAMR32,Kenya,0.047,0.016,0.002
61067,601476,Norway,0.5,0.016,0.016
61869,KM311,Japan,0.047,0.016,0.002
74505,HVH429,Spain,,,
75945,NG_AMS0038,The Netherlands,0.023,,0.003
