id,isolate,country,azithromycin_mic,cefixime_mic,ceftriaxone_mic,private_record,private_owner
27474,GCGS0150,USA,0.5,0.015,0.015,false,
31546,IN_10_1094,India,0.25,0.047,0.064,false,
31700,IN_07_1574,India,0.19,0.023,0.023,false,
31710,IN_09_2806,India,0.19,0.032,0.032,false,
31711,IN_09_3293,India,0.5,0.016,0.006,false,
31712,IN_09_3501,India,0.38,0.047,0.047,false,
31715,BX5602,Pakistan,0.032,0.032,0.016,false,
31716,BX6956,Pakistan,0.25,0.047,0.047,false,
31718,W8934,Pakistan,0.125,0.047,0.016,false,
31719,IN_10_449,India,0.032,0.047,0.064,false,
31731,BX3450,Pakistan,0.38,0.032,0.047,false,
31792,IN_07_114,India,0.25,0.023,0.023,false,
31943,BX1589,Pakistan,0.047,0.016,0.012,false,
31944,BX290,Pakistan,0.38,0.023,0.023,false,
31945,BX1099,Pakistan,0.38,0.023,0.023,false,
31947,BX1275,Pakistan,0.38,0.047,0.032,false,
31948,BX3301,Unknown,,,,false,
36240,52262,Kenya,,,,false,
36245,44568,Kenya,,,,false,
36267,55496,Kenya,,,,false,
36276,51645,Kenya,,,,false,
36278,T071,Kenya,,,,false,
36279,60243,Kenya,,,,false,
36285,43346,Kenya,,,,false,
36286,T083,Kenya,,,,false,
36287,43781,Kenya,,,,false,
36289,42974,Kenya,,,,false,
36290,47983,Kenya,,,,false,
36292,60709,Kenya,,,,false,
36293,43000,Kenya,,,,false,
36294,43038,Kenya,,,,false,
36295,46146,Kenya,,,,false,
36296,44569,Kenya,,,,false,
36297,52492,Kenya,,,,false,
36298,T101,Kenya,,,,false,
36301,T105,Kenya,,,,false,
37144,11CFX_C_016,USA,,,,false,
37416,GCGS0697,USA,0.125,0.03,0.015,false,
39082,64500,Kenya,,,,false,
39084,64605,Kenya,,,,false,
39087,64361,Kenya,,,,false,
39090,65080,Kenya,,,,false,
39091,65318,Kenya,,,,false,
39093,65551,Kenya,,,,false,
39096,56474,Kenya,,,,false,
39100,57568,Kenya,,,,false,
39109,43208 -1,Kenya,,,,false,
39110,43208 -2,Kenya,,,,false,
39111,43210,Kenya,,,,false,
39112,44271,Kenya,,,,false,
39114,44254,Kenya,,,,false,
39115,43306,Kenya,,,,false,
39122,48763,Kenya,,,,false,
49017,SRR3361129,UK [England],,,,false,
51760,553727,Norway,0.25,0.032,0.008,false,
60504,KNY_NGAMR5,Kenya,0.125,0.016,0.006,false,
75578,NG251,Thailand,,,,false,
75579,NG290,Thailand,,,,false,
76367,594278,Norway,0.125,0.016,0.004,false,
76384,595600,Norway,0.25,0.016,0.008,false,
76393,595722,Norway,0.125,0.016,0.008,false,
83824,609222,Norway,0.125,0.016,0.008,false,
87937,ECDC_SE13_067,Sweden,0.38,0.023,0.023,false,
87973,ECDC_SI13_022,Slovenia,,0.016,0.012,false,
87974,ECDC_SI13_023,Slovenia,,0.016,0.008,false,
87991,ECDC_SI13_040,Slovenia,,0.016,0.004,false,
87993,ECDC_SI13_043,Slovenia,,0.016,0.008,false,
106870,ERR3577534,UK,0.03,0.03,0.008,false,
107146,ERR3577829,UK,0.03,0.008,0.004,false,
107155,ERR3577839,UK,0.03,0.015,0.004,false,
115810,13ARS_DMC0024,Philippines,,,,false,
116544,19AR0098,New Zealand,4,0.03,0.03,false,
117933,500932,Sweden,,,,false,
118014,16-185,Sweden,,,,false,
118024,16-196,Sweden,,,,false,
118188,16-376,Sweden,,,,false,
118203,16-393,Sweden,,,,false,
118836,16AM105858,Sweden,,,,false,
119109,16AM106674,Sweden,,,,false,
119111,16AM106684,Sweden,,,,false,
119328,16AM110809,Sweden,,,,false,
119531,TH29,Thailand,0.25,,0.008,false,
125914,MDG-NG20,Madagascar,0.032,,0.006,false,
129737,ECDC_PL18_011,Poland,0.094,0.016,0.008,false,
129992,ECDC_AT18_980458,Austria,0.094,0.016,0.004,false,
131130,GP-12-MUS-264,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131133,GP-12-MUS-283,South Africa,,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131141,GP-12-MUS-317,South Africa,0.25,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131149,GP-12-MUS-356,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131150,GP-12-MUS-358,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131159,GP-13-MUS-047,South Africa,0.25,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131163,GP-13-MUS-067,South Africa,0.128,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131197,GP13-MUS-196,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131240,GP-14-MUS-105,South Africa,0.064,0.016,0.016,true,"Anastasia Unitt, University of Oxford"
131244,GP-14-MUS-117,South Africa,0.128,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131245,GP-14-MUS-121,South Africa,0.125,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131253,GP-14-MUS-165,South Africa,,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131269,GP-14-MUS-246,South Africa,,0.016,0.008,true,"Anastasia Unitt, University of Oxford"
