id,isolate,ciprofloxacin_mic,penicillin_mic,tetracycline_mic
131095,GP-12-MUS-048,2,0.19,16
131096,GP-12-MUS-049,0.002,,
131097,GP-12-MUS-052,0.125,,
131098,GP-12-MUS-069,0.002,,
131099,GP-12-MUS-071,0.38,32,32
131100,GP-12-MUS-086,0.002,32,32
131101,GP-12-MUS-088,0.75,32,32
131102,GP-12-MUS-092,0.002,0.5,32
131103,GP-12-MUS-093,0.002,,
131104,GP-12-MUS-096,0.002,32,32
131105,GP-12-MUS-099,0.064,8,0.5
131106,GP-12-MUS-102,6,8,32
131107,GP-12-MUS-107,2,0.25,8
131108,GP-12-MUS-109,0.094,0.25,32
131109,GP-12-MUS-110,0.5,32,32
131110,GP-12-MUS-115,2,,
131111,GP-12-MUS-116,1.5,0.125,12
131112,GP-12-MUS-117,0.006,,
131113,GP-12-MUS-124,0.5,,
131114,GP-12-MUS-137,0.002,,
131115,GP-12-MUS-163,0.38,,
131116,GP-12-MUS-166,1,,
131117,GP-12-MUS-170,2,,
131118,GP-12-MUS-180,0.002,,
131119,GP-12-MUS-190,1.5,,
131120,GP-12-MUS-199,3,,
131121,GP-12-MUS-205,0.38,,
131122,GP-12-MUS-208,0.38,,
131123,GP-12-MUS-211,0.004,,
131124,GP-12-MUS-214,6,,
131125,GP-12-MUS-220,3,,
131126,GP-12-MUS-242,0.38,,
131127,GP-12-MUS-250,0.002,,
131128,GP-12-MUS-251,2,,
131129,GP-12-MUS-252,0.004,,
131130,GP-12-MUS-264,1.5,,
131131,GP-12-MUS-273,0.5,,
131132,GP-12-MUS-276,0.5,,
131133,GP-12-MUS-283,0.094,,
131134,GP-12-MUS-289,0.75,,
131135,GP-12-MUS-291,8,,
131136,GP-12-MUS-297,0.002,,
131137,GP-12-MUS-303,0.002,,
131138,GP-12-MUS-307,0.75,,
131139,GP-12-MUS-311,0.002,,
131140,GP-12-MUS-312,0.75,,
131141,GP-12-MUS-317,2,32,32
131142,GP-12-MUS-319,1.5,32,32
131143,GP-12-MUS-324,1.5,,
131144,GP-12-MUS-325,0.002,,
131145,GP-12-MUS-331,3,,
131146,GP-12-MUS-333,3,,
131147,GP-12-MUS-337,0.38,,
131148,GP-12-MUS-339,0.38,,
131149,GP-12-MUS-356,1.5,,
131150,GP-12-MUS-358,1.5,,
131151,GP-12-MUS-361,1.5,,
131152,GP-12-MUS-363,1,,
131153,GP-12-MUS-368,0.38,,
131154,GP-12-MUS-371,0.19,,
131155,GP-13-MUS-001,0.003,0.25,0.064
131156,GP-13-MUS-015,1.5,1,4
131157,GP-13-MUS-032,1,,
131158,GP-13-MUS-044,0.38,16,32
131159,GP-13-MUS-047,1,32,16
131160,GP-13-MUS-051,2,1,32
131161,GP-13-MUS-052,2,1,32
131162,GP-13-MUS-053,2,8,16
131163,GP-13-MUS-067,1,32,16
131164,GP-13-MUS-068,0.002,8,16
131165,GP-13-MUS-070,0.5,16,8
131166,GP-13-MUS-073,0.002,0.5,16
131167,GP-13-MUS-076,1.5,32,16
131168,GP-13-MUS-077,0.25,16,32
131169,GP-13-MUS-080,0.002,32,16
131170,GP-13-MUS-081,0.003,2,16
131171,GP-13-MUS-083,,,
131172,GP13-MUS-085,1.5,16,32
131173,GP13-MUS-086,1.5,32,32
131174,GP13-MUS-088,1,8,8
131175,GP-13-MUS-096,0.008,,
131176,GP-13-MUS-099,0.25,4,4
131177,GP-13-MUS-103,1.5,,
131178,GP-13-MUS-105,0.002,,
131179,GP-13-MUS-107,2,,
131180,GP-13-MUS-109,2,,
131181,GP-13-MUS-116,0.002,,
131182,GP-13-MUS-120,1.5,,
131183,GP-13-MUS-121,2,,
131184,GP-13-MUS-129,0.002,,
131185,GP-13-MUS-132,0.003,,
131186,GP-13-MUS-133,0.5,,
131187,GP-13-MUS-134,0.002,,
131188,GP13-MUS-144,0.002,,
