id,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR,private_record,private_owner
131095,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131096,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131097,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131098,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131099,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131100,2012,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131101,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131102,2012,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131103,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131104,2012,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131105,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131106,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131107,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131108,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131109,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131110,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131111,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131112,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131113,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131114,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131115,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131116,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131117,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131118,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131119,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131120,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131121,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131122,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131123,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131124,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131125,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131126,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131127,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131128,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131129,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131130,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131131,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131132,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131133,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131134,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131135,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131136,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131137,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131138,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131139,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131140,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131141,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131142,2012,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131143,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131144,2012,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131145,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131146,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131147,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131148,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131149,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131150,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131151,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131152,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131153,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131154,2012,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131155,2013,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131156,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131157,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131158,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131159,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131160,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131161,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131162,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131163,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131164,2013,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131165,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131166,2013,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131167,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131168,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131169,2013,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131170,2013,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131171,2013,,,,,true,"Anastasia Unitt, University of Oxford"
131172,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131173,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131174,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131175,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131176,2013,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131177,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131178,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131179,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131180,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131181,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131182,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131183,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131184,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131185,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131186,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131187,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131188,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131189,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131190,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131191,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131192,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131193,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131194,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131195,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131196,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131197,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131198,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131199,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131200,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131201,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131202,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131203,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131204,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131205,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131206,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131207,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131208,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131209,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131210,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131211,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131212,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131213,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131214,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131215,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131216,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131217,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131218,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131219,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131220,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131221,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131222,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131223,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131224,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131225,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131226,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131227,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131228,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131229,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131230,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131231,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131232,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131233,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131234,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131235,2014,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131236,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131237,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131238,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131239,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131240,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131241,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131242,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131243,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
