cgST,Frequency,Percentage
21989,2,0.28
19489,2,0.28
34507,2,0.28
27605,2,0.28
34509,2,0.28
19490,2,0.28
21969,2,0.28
21970,2,0.28
21994,2,0.28
29688,2,0.28
34515,2,0.28
29689,2,0.28
29690,2,0.28
29691,2,0.28
19491,2,0.28
21996,2,0.28
21972,2,0.28
34522,2,0.28
19492,2,0.28
19493,2,0.28
19494,2,0.28
34477,2,0.28
34527,2,0.28
34379,2,0.28
19495,2,0.28
29666,2,0.28
34481,2,0.28
34482,2,0.28
34440,2,0.28
34441,2,0.28
34309,2,0.28
29667,2,0.28
29668,2,0.28
19496,2,0.28
19595,2,0.28
34350,2,0.28
19497,2,0.28
34492,2,0.28
19484,2,0.28
21981,2,0.28
34495,2,0.28
19643,2,0.28
21983,2,0.28
34548,2,0.28
34498,2,0.28
21984,2,0.28
19415,2,0.28
19486,2,0.28
19477,2,0.28
19488,2,0.28
34361,2,0.28
19461,1,0.14
19462,1,0.14
19463,1,0.14
19464,1,0.14
19465,1,0.14
19466,1,0.14
19467,1,0.14
19468,1,0.14
19469,1,0.14
19470,1,0.14
19471,1,0.14
19472,1,0.14
19473,1,0.14
19474,1,0.14
19475,1,0.14
19476,1,0.14
19478,1,0.14
19479,1,0.14
19480,1,0.14
19481,1,0.14
19482,1,0.14
19483,1,0.14
19485,1,0.14
19487,1,0.14
19498,1,0.14
19499,1,0.14
19500,1,0.14
19501,1,0.14
19502,1,0.14
19503,1,0.14
19504,1,0.14
19505,1,0.14
19506,1,0.14
19507,1,0.14
19508,1,0.14
19509,1,0.14
19510,1,0.14
19511,1,0.14
19512,1,0.14
19513,1,0.14
19514,1,0.14
19515,1,0.14
19516,1,0.14
19517,1,0.14
19518,1,0.14
19519,1,0.14
19520,1,0.14
19521,1,0.14
19522,1,0.14
19523,1,0.14
19524,1,0.14
19525,1,0.14
19526,1,0.14
19527,1,0.14
19528,1,0.14
19529,1,0.14
19530,1,0.14
19531,1,0.14
19532,1,0.14
19533,1,0.14
19534,1,0.14
19535,1,0.14
19536,1,0.14
19537,1,0.14
19538,1,0.14
19539,1,0.14
19540,1,0.14
19541,1,0.14
19542,1,0.14
19543,1,0.14
19544,1,0.14
19545,1,0.14
19546,1,0.14
19547,1,0.14
19548,1,0.14
19549,1,0.14
19550,1,0.14
19551,1,0.14
19552,1,0.14
19553,1,0.14
19554,1,0.14
19555,1,0.14
19556,1,0.14
19557,1,0.14
19558,1,0.14
19559,1,0.14
19560,1,0.14
19561,1,0.14
19562,1,0.14
19563,1,0.14
19564,1,0.14
19565,1,0.14
19566,1,0.14
19567,1,0.14
19568,1,0.14
19569,1,0.14
19570,1,0.14
19571,1,0.14
19572,1,0.14
19573,1,0.14
19574,1,0.14
19575,1,0.14
19576,1,0.14
19577,1,0.14
19578,1,0.14
19579,1,0.14
19580,1,0.14
19581,1,0.14
19582,1,0.14
19583,1,0.14
19584,1,0.14
19585,1,0.14
19586,1,0.14
19587,1,0.14
19588,1,0.14
19589,1,0.14
19590,1,0.14
19591,1,0.14
19592,1,0.14
19593,1,0.14
19594,1,0.14
19596,1,0.14
19597,1,0.14
19598,1,0.14
19599,1,0.14
19600,1,0.14
19601,1,0.14
19602,1,0.14
19603,1,0.14
19604,1,0.14
19605,1,0.14
19606,1,0.14
19607,1,0.14
19608,1,0.14
19609,1,0.14
19610,1,0.14
19611,1,0.14
19612,1,0.14
19613,1,0.14
19614,1,0.14
19615,1,0.14
19616,1,0.14
19617,1,0.14
19618,1,0.14
19619,1,0.14
19620,1,0.14
19621,1,0.14
19622,1,0.14
19623,1,0.14
19624,1,0.14
19625,1,0.14
19626,1,0.14
19627,1,0.14
19628,1,0.14
19629,1,0.14
19630,1,0.14
19631,1,0.14
19632,1,0.14
19633,1,0.14
19634,1,0.14
19635,1,0.14
19636,1,0.14
19637,1,0.14
19638,1,0.14
19639,1,0.14
19640,1,0.14
19641,1,0.14
19642,1,0.14
19644,1,0.14
19645,1,0.14
19646,1,0.14
19647,1,0.14
19648,1,0.14
19649,1,0.14
19650,1,0.14
19651,1,0.14
19652,1,0.14
19653,1,0.14
19654,1,0.14
19655,1,0.14
19656,1,0.14
19657,1,0.14
19658,1,0.14
19659,1,0.14
19660,1,0.14
19661,1,0.14
19662,1,0.14
19663,1,0.14
19664,1,0.14
19665,1,0.14
19666,1,0.14
19667,1,0.14
19668,1,0.14
19669,1,0.14
19670,1,0.14
19671,1,0.14
19672,1,0.14
19673,1,0.14
19674,1,0.14
19675,1,0.14
19676,1,0.14
19677,1,0.14
19678,1,0.14
19679,1,0.14
