id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
2858,22159,,,,,,,
31967,02_227,,1990,251,13,21,908,3
31968,02_228,,1991,22,185,18,909,0
31969,02_229,,1991,251,48,20,910,0
89182,15MUS-Pl003,,2015,,,,,
89183,15MUS-Pl044,,2015,,,,,
89185,15MUS-Pl098,,2015,,,,,
89186,17MUS-AH083,,2017,,,,,
89187,17MUS-AH094,,2017,,,,,
89188,17MUS-AH118,,2017,,,,,
89189,17MUS-AH035,,2017,,,,,
89190,15MUS-PI063,,2015,,,,,
89194,17MUS-AH070,,2017,,,,,
89195,15MUS-PI091,,2015,,,,,
89196,17MUS-AH060,,2017,,,,,
89197,15MUS-PI005,,2015,,,,,
89198,15MUS-PI092,,2015,,,,,
89199,17MUS-AH077,,2017,,,,,
89200,17MUS-AH017,,2017,,,,,
92898,JR-409,Township,2019,,,,,
92899,JR-413,Township,2019,,,,,
92900,JR-414,Township,2019,,,,,
92901,JR-412,Township,2018,,,,,
92902,JR-403,Township,2019,,,,,
92903,JR-401,Township,2019,,,,,
93214,G176,,2019,,,,,
96169,R3,KwaZulu-Natal,2013,621,13,23,4325,0
96170,R6,KwaZulu-Natal,2013,2759,8,294,4326,0
96171,R48,KwaZulu-Natal,2014,251,13,294,878,10
96172,R59,KwaZulu-Natal,2014,3802,1404,2993,4327,0
96173,R63,KwaZulu-Natal,2014,3802,1404,2993,4328,0
96174,R73,KwaZulu-Natal,2014,,13,294,4329,0
109097,SA2018-601,,2018,,8,228,5268,0
109098,SA2018-602,,2018,621,,23,5269,0
109099,SA2018-603,,2018,,13,285,5270,0
109100,SA2018-604,,2018,621,13,23,5271,
109101,SA2018-605,,2018,251,13,228,5272,0
109102,SA2018-606,,2018,251,13,228,5272,0
109103,SA2018-607,,2018,333,13,,5273,0
109104,SA2018-609,,2018,251,13,285,763,0
109105,SA2018-610,,2018,251,13,,5274,0
109106,SA2018-611,,2018,251,13,17,5275,0
109107,SA2018-612,,2018,,8,23,5276,0
109108,SA2018-613,,2018,2759,8,294,763,0
109109,SA2018-614,,2018,623,8,23,3894,
109110,SA2018-615,,2018,619,8,166,5277,0
109111,SA2019-810,,2019,612,8,294,2218,0
109112,SA2019-812,,2019,,8,23,5278,
109113,SA2019-813,,2019,251,13,285,878,
109114,SA2019-814,,2019,621,13,23,5269,0
109115,SA2019-815,,2019,23,,,554,0
109116,SA2019-816,,2019,,13,228,,3
109117,SA2019-817,,2019,23,13,285,554,0
109118,SA2019-818,,2019,251,13,285,878,
109119,SA2019-819,,2019,333,13,285,5273,
109120,SA2018-820,,2018,,13,228,5279,3
109121,SA2018-821,,2018,,8,23,5280,0
115183,19MUS-SR081,,2019,,,,,
115184,21MUS-AH021,,2021,,,,,
115185,21MUS-AH105,,2021,,,,,
123332,7148,,2022,,,,,
123333,5054,,2022,,,,,
123334,1077,,2022,,,,,
123335,2003,,2022,,,,,
123336,7023,,2022,,,,,
123337,8054,,2022,,,,,
123338,7064,,2022,,,,,
123339,5051,,2022,,,,,
123340,3146,,2022,,,,,
123341,8081,,2022,,,,,
