cgST,Frequency,Percentage
19415,2,0.25
19484,2,0.25
34495,2,0.25
34379,2,0.25
9177,2,0.25
34498,2,0.25
29666,2,0.25
29667,2,0.25
29668,2,0.25
19486,2,0.25
19477,2,0.25
21981,2,0.25
33261,2,0.25
19488,2,0.25
34507,2,0.25
21983,2,0.25
34509,2,0.25
21984,2,0.25
19489,2,0.25
19490,2,0.25
34350,2,0.25
19491,2,0.25
34515,2,0.25
34309,2,0.25
19492,2,0.25
21989,2,0.25
26118,2,0.25
19493,2,0.25
19494,2,0.25
34522,2,0.25
19495,2,0.25
19643,2,0.25
21994,2,0.25
34361,2,0.25
34527,2,0.25
26999,2,0.25
27000,2,0.25
29688,2,0.25
29689,2,0.25
29690,2,0.25
34477,2,0.25
29691,2,0.25
27605,2,0.25
21969,2,0.25
34481,2,0.25
34482,2,0.25
21996,2,0.25
21970,2,0.25
19496,2,0.25
21972,2,0.25
19497,2,0.25
9178,2,0.25
34440,2,0.25
34441,2,0.25
19595,2,0.25
34548,2,0.25
34492,2,0.25
19461,1,0.13
19462,1,0.13
19463,1,0.13
19464,1,0.13
19465,1,0.13
19466,1,0.13
19467,1,0.13
19468,1,0.13
19469,1,0.13
19470,1,0.13
19471,1,0.13
19472,1,0.13
19473,1,0.13
19474,1,0.13
19475,1,0.13
19476,1,0.13
19478,1,0.13
19479,1,0.13
19480,1,0.13
19481,1,0.13
19482,1,0.13
19483,1,0.13
19485,1,0.13
19487,1,0.13
19498,1,0.13
19499,1,0.13
19500,1,0.13
19501,1,0.13
19502,1,0.13
19503,1,0.13
19504,1,0.13
19505,1,0.13
19506,1,0.13
19507,1,0.13
19508,1,0.13
19509,1,0.13
19510,1,0.13
19511,1,0.13
19512,1,0.13
19513,1,0.13
19514,1,0.13
19515,1,0.13
19516,1,0.13
19517,1,0.13
19518,1,0.13
19519,1,0.13
19520,1,0.13
19521,1,0.13
19522,1,0.13
19523,1,0.13
19524,1,0.13
19525,1,0.13
19526,1,0.13
19527,1,0.13
19528,1,0.13
19529,1,0.13
19530,1,0.13
19531,1,0.13
19532,1,0.13
19533,1,0.13
19534,1,0.13
19535,1,0.13
19536,1,0.13
19537,1,0.13
19538,1,0.13
19539,1,0.13
19540,1,0.13
19541,1,0.13
19542,1,0.13
19543,1,0.13
19544,1,0.13
19545,1,0.13
19546,1,0.13
19547,1,0.13
19548,1,0.13
19549,1,0.13
19550,1,0.13
19551,1,0.13
19552,1,0.13
19553,1,0.13
19554,1,0.13
19555,1,0.13
19556,1,0.13
19557,1,0.13
19558,1,0.13
19559,1,0.13
19560,1,0.13
19561,1,0.13
19562,1,0.13
19563,1,0.13
19564,1,0.13
19565,1,0.13
19566,1,0.13
19567,1,0.13
19568,1,0.13
19569,1,0.13
19570,1,0.13
19571,1,0.13
19572,1,0.13
19573,1,0.13
19574,1,0.13
19575,1,0.13
19576,1,0.13
19577,1,0.13
19578,1,0.13
19579,1,0.13
19580,1,0.13
19581,1,0.13
19582,1,0.13
19583,1,0.13
19584,1,0.13
19585,1,0.13
19586,1,0.13
19587,1,0.13
19588,1,0.13
19589,1,0.13
19590,1,0.13
19591,1,0.13
19592,1,0.13
19593,1,0.13
19594,1,0.13
19596,1,0.13
19597,1,0.13
19598,1,0.13
19599,1,0.13
19600,1,0.13
19601,1,0.13
19602,1,0.13
19603,1,0.13
19604,1,0.13
19605,1,0.13
19606,1,0.13
19607,1,0.13
19608,1,0.13
19609,1,0.13
19610,1,0.13
19611,1,0.13
19612,1,0.13
19613,1,0.13
19614,1,0.13
19615,1,0.13
19616,1,0.13
19617,1,0.13
19618,1,0.13
19619,1,0.13
19620,1,0.13
19621,1,0.13
19622,1,0.13
19623,1,0.13
19624,1,0.13
19625,1,0.13
19626,1,0.13
19627,1,0.13
19628,1,0.13
19629,1,0.13
19630,1,0.13
19631,1,0.13
19632,1,0.13
19633,1,0.13
19634,1,0.13
19635,1,0.13
19636,1,0.13
19637,1,0.13
19638,1,0.13
19639,1,0.13
