year,private_record,private_owner
,false,
1990,false,
1991,false,
1991,false,
2015,false,
2015,false,
2015,false,
2017,false,
2017,false,
2017,false,
2017,false,
2015,false,
2017,false,
2015,false,
2017,false,
2015,false,
2015,false,
2017,false,
2017,false,
2019,false,
2019,false,
2019,false,
2018,false,
2019,false,
2019,false,
2019,false,
2013,false,
2013,false,
2014,false,
2014,false,
2014,false,
2014,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2018,false,
2019,false,
2019,false,
2019,false,
2019,false,
2019,false,
2019,false,
2019,false,
2019,false,
2019,false,
2018,false,
2018,false,
2019,false,
2021,false,
2021,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2022,false,
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
2012,true,"Anastasia Unitt, University of Oxford"
