species,NEIS1633,NEIS1635,pro_NEIS1635
Neisseria meningitidis,25,22,5
Neisseria meningitidis,28,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,29,8,5
Neisseria meningitidis,,,
Neisseria meningitidis,11,2,5
Neisseria meningitidis,28,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,28,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,30,21,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,29,8,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,24,7,5
Neisseria meningitidis,25,21,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,28,2,5
Neisseria meningitidis,25,21,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,25,21,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,28,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,28,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,31,23,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,32,4,7
Neisseria meningitidis,,,
Neisseria meningitidis,29,8,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,33,2,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria lactamica,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,29;34,8,5
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,,,
Neisseria meningitidis,29,8,5
Neisseria lactamica,,,
