species,NEIS1633
Neisseria meningitidis,25
Neisseria meningitidis,28
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,29
Neisseria meningitidis,
Neisseria meningitidis,11
Neisseria meningitidis,28
Neisseria meningitidis,
Neisseria meningitidis,28
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,30
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,29
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,24
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,28
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,28
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,28
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,31
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,32
Neisseria meningitidis,
Neisseria meningitidis,29
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,33
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria lactamica,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,29;34
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,29
Neisseria lactamica,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria gonorrhoeae,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria lactamica,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,29
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria lactamica,
Neisseria meningitidis,
Neisseria lactamica,
Neisseria meningitidis,
Neisseria meningitidis,3
Neisseria meningitidis,25
Neisseria meningitidis,25
Neisseria meningitidis,3
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,1
Neisseria meningitidis,
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,61
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,3
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,1
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,35
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,1
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,36
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,37
Neisseria meningitidis,
Neisseria meningitidis,3
Neisseria meningitidis,
Neisseria meningitidis,12
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,14
Neisseria meningitidis,3
Neisseria meningitidis,38
Neisseria meningitidis,39
Neisseria meningitidis,40
Neisseria meningitidis,39
Neisseria meningitidis,42
Neisseria meningitidis,3
Neisseria meningitidis,39
Neisseria meningitidis,43
Neisseria meningitidis,44
Neisseria meningitidis,13
Neisseria meningitidis,13
Neisseria meningitidis,45
Neisseria meningitidis,39
Neisseria meningitidis,47
Neisseria meningitidis,45
Neisseria meningitidis,49
Neisseria meningitidis,49
Neisseria meningitidis,
Neisseria meningitidis,3
Neisseria meningitidis,3
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,3
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,3
Neisseria meningitidis,50
Neisseria meningitidis,56
Neisseria meningitidis,41
Neisseria meningitidis,58
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,25
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,28
Neisseria meningitidis,25
Neisseria meningitidis,59
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,28
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,60
Neisseria meningitidis,61
Neisseria meningitidis,60
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,1
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
Neisseria meningitidis,
