,index,ID,LIN,Lineage,country,isolate,year,mydata,SA
0,1,31966,29_0_0_0_0_0_0_0_0_0_0,29_0_0,The Gambia,02_225,1989.0,N,N
1,2,31967,0_0_8_0_1_0_0_0_0_0_0,0_0_8,South Africa,02_227,1990.0,N,other_SA
2,3,31968,1_7_1_0_0_0_0_0_0_0_0,1_7_1,South Africa,02_228,1991.0,N,other_SA
3,4,31969,0_0_32_0_0_0_0_0_0_0_0,0_0_32,South Africa,02_229,1991.0,N,other_SA
4,5,31970,34_0_0_1_0_0_0_0_0_0_0,34_0_0,Tanzania,02_230,1992.0,N,N
5,6,31971,0_2_14_0_0_0_0_0_0_0_0,0_2_14,Cape Verde,989000020,1998.0,N,N
6,7,31972,1_1_27_0_1_0_0_0_0_0_0,1_1_27,Cape Verde,989000035,1998.0,N,N
7,8,31973,0_12_5_0_0_0_0_0_1_0_0,0_12_5,The Gambia,989000005,1998.0,N,N
8,9,31974,0_12_5_0_0_0_0_0_0_0_0,0_12_5,The Gambia,989000046,1998.0,N,N
9,10,31975,11_0_3_0_1_0_0_0_0_0_0,11_0_3,The Gambia,989000266,1998.0,N,N
10,11,31976,0_2_7_2_0_0_0_0_0_0_0,0_2_7,Morocco,989000418,1998.0,N,N
11,12,31977,0_0_4_0_0_0_0_0_0_0_0,0_0_4,Morocco,989000421,1998.0,N,N
12,13,31978,1_4_0_0_0_0_0_0_0_0_0,1_4_0,Tanzania,989000016,1998.0,N,N
13,14,31979,1_1_32_0_0_0_0_0_0_0_0,1_1_32,Uganda,999000083,1999.0,N,N
14,15,31980,1_1_22_0_0_0_0_0_0_1_0,1_1_22,Angola,999000018,1999.0,N,N
15,16,31981,1_1_22_0_0_0_0_0_1_0_0,1_1_22,The Gambia,999000055,1999.0,N,N
16,17,31982,0_2_56_0_0_0_0_0_0_0_0,0_2_56,Guinea,999000051,1999.0,N,N
17,18,31983,5_1_0_0_0_0_0_0_0_0_0,5_1_0,Morocco,999000073,1999.0,N,N
18,19,31984,1_1_17_0_1_0_0_0_1_0_0,1_1_17,Guinea-Bissau,08_590_00123,2007.0,N,N
19,20,31985,1_1_17_0_2_0_0_0_0_0_0,1_1_17,Guinea-Bissau,08_590_125,2007.0,N,N
20,21,31986,0_12_5_0_1_0_0_0_0_0_0,0_12_5,Guinea-Bissau,08_590_00126,2007.0,N,N
21,22,31987,1_1_17_0_1_0_0_1_0_0_0,1_1_17,Guinea-Bissau,08_590_00127,2007.0,N,N
22,23,31988,1_1_38_0_1_0_0_0_0_0_0,1_1_38,Guinea-Bissau,08_590_00128,2007.0,N,N
23,24,31989,1_1_17_0_1_0_0_0_0_0_0,1_1_17,Guinea-Bissau,08_590_00129,2007.0,N,N
24,25,31990,1_1_17_0_0_0_0_0_0_0_0,1_1_17,Guinea-Bissau,08_590_00130,2007.0,N,N
25,26,31991,15_0_0_0_0_0_0_0_0_0_0,15_0_0,Guinea-Bissau,08_590_00131,2007.0,N,N
26,27,31992,1_1_38_0_0_1_0_0_0_0_0,1_1_38,Guinea-Bissau,08_590_00132,2007.0,N,N
27,28,31993,1_1_17_0_1_1_0_0_0_0_0,1_1_17,Guinea-Bissau,08_590_00133,2007.0,N,N
28,29,31994,1_1_38_0_0_1_0_0_0_0_0,1_1_38,Guinea-Bissau,08_590_00134,2007.0,N,N
29,30,31995,1_1_38_0_0_0_0_0_0_0_0,1_1_38,Guinea-Bissau,08_590_00135,2007.0,N,N
30,31,31996,0_9_0_3_0_0_0_0_0_0_0,0_9_0,Guinea-Bissau,08_590_00136,2007.0,N,N
31,32,31997,0_9_0_1_0_0_0_0_0_0_0,0_9_0,Guinea-Bissau,08_590_00141,2007.0,N,N
32,33,31998,15_0_0_0_1_0_0_0_0_0_0,15_0_0,Guinea-Bissau,08_590_00142,2007.0,N,N
33,34,31999,1_1_36_0_0_0_0_0_0_0_0,1_1_36,Guinea-Bissau,08_590_00143,2007.0,N,N
34,35,32000,8_0_0_0_0_0_0_0_0_0_0,8_0_0,Guinea-Bissau,08_590_00144,2007.0,N,N
35,36,32001,11_0_1_1_0_0_0_0_0_0_0,11_0_1,Guinea-Bissau,08_590_00145,2007.0,N,N
36,37,32002,0_9_0_2_0_0_0_0_0_0_0,0_9_0,Guinea-Bissau,08_590_00146,2007.0,N,N
37,38,32007,1_1_36_0_1_0_0_0_0_0_0,1_1_36,Guinea-Bissau,08_590_00153,2007.0,N,N
38,39,32008,1_1_17_0_1_2_0_0_0_0_0,1_1_17,Guinea-Bissau,08_590_00154,2007.0,N,N
39,40,32009,1_1_17_1_0_0_0_0_0_0_0,1_1_17,Guinea-Bissau,08_590_00156,2007.0,N,N
40,41,32010,1_1_27_3_0_0_0_0_0_0_0,1_1_27,Guinea-Bissau,08_590_00157,2007.0,N,N
41,42,32011,8_0_0_0_1_0_0_0_0_0_0,8_0_0,Guinea-Bissau,08_590_00138_pg_r,2007.0,N,N
42,43,36238,0_16_0_1_12_0_0_0_0_0_0,0_16_0,Kenya,51212,2011.0,N,N
43,44,36239,1_1_11_1_0_0_0_0_0_0_0,1_1_11,Kenya,T004,,N,N
44,45,36240,0_0_47_5_13_0_0_0_0_0_0,0_0_47,Kenya,52262,2012.0,N,N
45,46,36241,0_18_6_0_0_0_0_0_0_0_0,0_18_6,Kenya,T006,2013.0,N,N
46,47,36242,0_0_33_46_3_0_0_0_0_0_0,0_0_33,Kenya,T007,,N,N
47,48,36243,0_16_0_1_5_0_0_0_0_0_0,0_16_0,Kenya,57547,2012.0,N,N
48,49,36244,0_16_0_2_2_2_0_0_0_0_0,0_16_0,Kenya,56873,2012.0,N,N
49,50,36245,0_0_47_9_0_1_0_0_0_0_0,0_0_47,Kenya,44568,2010.0,N,N
50,51,36246,0_16_0_1_0_0_0_0_0_0_0,0_16_0,Kenya,61467,2013.0,N,N
51,52,36247,0_16_4_0_1_3_0_0_1_0_0,0_16_4,Kenya,62017,2013.0,N,N
52,53,36248,0_16_0_2_0_0_0_0_0_0_0,0_16_0,Kenya,43305,2010.0,N,N
53,54,36249,0_16_0_1_4_0_0_0_0_0_0,0_16_0,Kenya,51451,2011.0,N,N
54,55,36250,0_0_33_46_9_0_0_0_0_0_0,0_0_33,Kenya,58767,2012.0,N,N
55,56,36251,0_2_55_0_0_0_0_0_0_0_0,0_2_55,Kenya,63179,2013.0,N,N
56,57,36252,1_1_11_0_0_0_0_0_0_0_0,1_1_11,Kenya,T032,,N,N
