NEIS1635,species,label
1008,#0432FF,N.meningitidis
67,#0432FF,N.meningitidis
2053,#0432FF,N.meningitidis
1325,#0432FF,N.meningitidis
2096,#0432FF,N.meningitidis
518,#0432FF,N.meningitidis
2613,#0432FF,N.meningitidis
410,#0432FF,N.meningitidis
1018,#0432FF,N.meningitidis
2811,#0432FF,N.meningitidis
2220,#0432FF,N.meningitidis
765,#0432FF,N.meningitidis
2602,#0432FF,N.meningitidis
2109,#0432FF,N.meningitidis
1003,#0432FF,N.meningitidis
226,#0432FF,N.meningitidis
1978,#0432FF,N.meningitidis
32,#0432FF,N.meningitidis
2681,#0432FF,N.meningitidis
569,#0432FF,N.meningitidis
2788,#0432FF,N.meningitidis
2624,#0432FF,N.meningitidis
2554,#0432FF,N.meningitidis
751,#0432FF,N.meningitidis
2581,#0432FF,N.meningitidis
550,#0432FF,N.meningitidis
2394,#0432FF,N.meningitidis
336,#0432FF,N.meningitidis
2059,#0432FF,N.meningitidis
249,#0432FF,N.meningitidis
2393,#0432FF,N.meningitidis
2832,#0432FF,N.meningitidis
1044,#0432FF,N.meningitidis
2569,#0432FF,N.meningitidis
2590,#0432FF,N.meningitidis
481,#0432FF,N.meningitidis
2084,#0432FF,N.meningitidis
1068,#0432FF,N.meningitidis
2528,#0432FF,N.meningitidis
2722,#0432FF,N.meningitidis
2683,#0432FF,N.meningitidis
2748,#0432FF,N.meningitidis
30,#0432FF,N.meningitidis
2217,#0432FF,N.meningitidis
2135,#0432FF,N.meningitidis
2757,#0432FF,N.meningitidis
2628,#0432FF,N.meningitidis
514,#0432FF,N.meningitidis
729,#0432FF,N.meningitidis
219,#0432FF,N.meningitidis
2579,#0432FF,N.meningitidis
584,#0432FF,N.meningitidis
2800,#0432FF,N.meningitidis
546,#0432FF,N.meningitidis
2762,#0432FF,N.meningitidis
4,#0432FF,N.meningitidis
2131,#0432FF,N.meningitidis
2744,#0432FF,N.meningitidis
2555,#0432FF,N.meningitidis
2405,#0432FF,N.meningitidis
1904,#0432FF,N.meningitidis
2371,#0432FF,N.meningitidis
583,#0432FF,N.meningitidis
2539,#0432FF,N.meningitidis
2605,#0432FF,N.meningitidis
731,#0432FF,N.meningitidis
2774,#0432FF,N.meningitidis
1923,#0432FF,N.meningitidis
413,#0432FF,N.meningitidis
2674,#0432FF,N.meningitidis
744,#0432FF,N.meningitidis
34,#0432FF,N.meningitidis
2642,#0432FF,N.meningitidis
222,#0432FF,N.meningitidis
156,#0432FF,N.meningitidis
322,#0432FF,N.meningitidis
137,#0432FF,N.meningitidis
278,#0432FF,N.meningitidis
1903,#0432FF,N.meningitidis
