MtrD,species,label
523,#0432FF,N.meningitidis
2304,#0432FF,N.meningitidis
874,#0432FF,N.meningitidis
2070,#0432FF,N.meningitidis
68,#0432FF,N.meningitidis
2184,#0432FF,N.meningitidis
1233,#0432FF,N.meningitidis
1892,#0432FF,N.meningitidis
281,#0432FF,N.meningitidis
1733,#0432FF,N.meningitidis
524,#0432FF,N.meningitidis
501,#0432FF,N.meningitidis
2864,#0432FF,N.meningitidis
1255,#0432FF,N.meningitidis
2180,#0432FF,N.meningitidis
3674,#0432FF,N.meningitidis
231,#0432FF,N.meningitidis
2076,#0432FF,N.meningitidis
2132,#0432FF,N.meningitidis
2136,#0432FF,N.meningitidis
1581,#0432FF,N.meningitidis
1732,#0432FF,N.meningitidis
3537,#0432FF,N.meningitidis
3940,#0432FF,N.meningitidis
2340,#0432FF,N.meningitidis
3676,#0432FF,N.meningitidis
92,#0432FF,N.meningitidis
5573,#0432FF,N.meningitidis
1084,#0432FF,N.meningitidis
537,#0432FF,N.meningitidis
948,#0432FF,N.meningitidis
2749,#0432FF,N.meningitidis
196,#0432FF,N.meningitidis
4450,#0432FF,N.meningitidis
1734,#0432FF,N.meningitidis
492,#0432FF,N.meningitidis
325,#0432FF,N.meningitidis
1162,#0432FF,N.meningitidis
532,#0432FF,N.meningitidis
340,#0432FF,N.meningitidis
3560,#0432FF,N.meningitidis
2687,#0432FF,N.meningitidis
2103,#0432FF,N.meningitidis
8,#0432FF,N.meningitidis
464,#0432FF,N.meningitidis
577,#0432FF,N.meningitidis
7,#0432FF,N.meningitidis
3510,#0432FF,N.meningitidis
121,#0432FF,N.meningitidis
1110,#0432FF,N.meningitidis
105,#0432FF,N.meningitidis
5702,#0432FF,N.meningitidis
146,#0432FF,N.meningitidis
338,#0432FF,N.meningitidis
128,#0432FF,N.meningitidis
1747,#0432FF,N.meningitidis
4736,#0432FF,N.meningitidis
4197,#0432FF,N.meningitidis
817,#0432FF,N.meningitidis
209,#0432FF,N.meningitidis
2591,#0432FF,N.meningitidis
3351,#0432FF,N.meningitidis
2430,#0432FF,N.meningitidis
12,#0432FF,N.meningitidis
3570,#0432FF,N.meningitidis
4460,#0432FF,N.meningitidis
441,#0432FF,N.meningitidis
394,#0432FF,N.meningitidis
3823,#0432FF,N.meningitidis
614,#0432FF,N.meningitidis
2164,#0432FF,N.meningitidis
3724,#0432FF,N.meningitidis
2045,#0432FF,N.meningitidis
3644,#0432FF,N.meningitidis
2873,#0432FF,N.meningitidis
598,#0432FF,N.meningitidis
2142,#0432FF,N.meningitidis
2141,#0432FF,N.meningitidis
2730,#0432FF,N.meningitidis
2855,#0432FF,N.meningitidis
384,#0432FF,N.meningitidis
142,#0432FF,N.meningitidis
2067,#0432FF,N.meningitidis
1685,#0432FF,N.meningitidis
327,#0432FF,N.meningitidis
2533,#0432FF,N.meningitidis
2787,#0432FF,N.meningitidis
