,id,isolate,cgst,lincode,LIN1,LIN2,LIN3,LIN4
0,131095,GP-12-MUS-048,19409;33764,0_12_10_0_0_0_0_0_0_0_0,0.0,0_12,0_12_10,0_12_10_0
12,131107,GP-12-MUS-107,19421,1_3_0_1_0_0_0_0_0_0_0,1.0,1_3,1_3_0,1_3_0_1
16,131111,GP-12-MUS-116,19424,1_1_50_0_0_0_0_0_0_0_0,1.0,1_1,1_1_50,1_1_50_0
28,131123,GP-12-MUS-211,19436,1_3_1_0_0_0_0_0_0_0_0,1.0,1_3,1_3_1,1_3_1_0
34,131129,GP-12-MUS-252,19441,0_2_73_0_0_0_0_0_0_0_0,0.0,0_2,0_2_73,0_2_73_0
44,131139,GP-12-MUS-311,19451,0_12_10_2_0_0_0_0_0_0_0,0.0,0_12,0_12_10,0_12_10_2
71,131166,GP-13-MUS-073,19478,1_1_51_0_0_0_0_0_0_0_0,1.0,1_1,1_1_51,1_1_51_0
75,131170,GP-13-MUS-081,19482,1_1_49_0_0_0_0_0_0_0_0,1.0,1_1,1_1_49,1_1_49_0
92,131187,GP-13-MUS-134,19498,1_1_40_0_0_0_0_0_0_0_0,1.0,1_1,1_1_40,1_1_40_0
93,131188,GP13-MUS-144,19499,0_2_71_0_0_0_0_0_0_0_0,0.0,0_2,0_2_71,0_2_71_0
95,131190,GP13-MUS-152,19501,0_12_11_0_0_0_0_0_0_0_0,0.0,0_12,0_12_11,0_12_11_0
134,131229,GP-14-MUS-063,19540,0_2_71_0_3_0_0_0_0_0_0,0.0,0_2,0_2_71,0_2_71_0
148,131243,GP-14-MUS-114,19554,0_2_30_0_1_0_0_0_0_0_0,0.0,0_2,0_2_30,0_2_30_0
153,131248,GP-14-MUS-147,19559,0_12_10_3_0_0_0_0_0_0_0,0.0,0_12,0_12_10,0_12_10_3
162,131257,GP-14-MUS-211,19568,0_12_10_1_0_0_0_0_0_0_0,0.0,0_12,0_12_10,0_12_10_1
168,131263,GP-14-MUS-221,19574,0_0_72_0_0_0_0_0_0_0_0,0.0,0_0,0_0_72,0_0_72_0
180,131275,15MUS-AH007,19586,0_2_71_0_2_0_0_0_0_0_0,0.0,0_2,0_2_71,0_2_71_0
193,131288,15MUS-AH077,19599,0_2_71_0_0_1_0_0_0_0_0,0.0,0_2,0_2_71,0_2_71_0
196,131291,15MUS-AH083,19602,0_0_64_0_0_0_0_0_0_0_0,0.0,0_0,0_0_64,0_0_64_0
206,131301,15MUS-AH096,19612,11_0_5_0_0_0_0_0_0_0_0,11.0,11_0,11_0_5,11_0_5_0
215,131310,15MUS-AH121,19620,0_0_73_0_0_0_0_0_0_0_0,0.0,0_0,0_0_73,0_0_73_0
241,131336,16MUS-AH023,19645,0_0_61_0_0_0_0_0_0_0_0,0.0,0_0,0_0_61,0_0_61_0
270,131365,16MUS-AH121,19674,0_2_72_0_0_0_0_0_0_0_0,0.0,0_2,0_2_72,0_2_72_0
290,140561,17MUS_AH117_S95,21965,51_0_1_0_0_0_0_0_0_0_0,51.0,51_0,51_0_1,51_0_1_0
291,140562,18MUS_AH145_S102,21966,0_0_92_0_0_0_0_0_0_0_0,0.0,0_0,0_0_92,0_0_92_0
293,140564,18MUS_KH083_S97,21968;29687,1_15_1_0_0_0_0_0_0_0_0,1.0,1_15,1_15_1,1_15_1_0
