id,isolate,country,year,azithromycin_mic,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
27230,GCGS0010,USA,2009.0,0.5,50,18.0,12.0,12.0,6,False,
27231,GCGS0062,USA,2009.0,0.25,50,367.0,12.0,187.0,6,False,
27232,GCGS0138,USA,2010.0,16.0,50,1008.0,317.0,367.0,4,False,
27233,GCGS0198,USA,2009.0,16.0,50,1006.0,205.0,187.0,6,False,
27234,GCGS0144,USA,2009.0,0.5,50,18.0,12.0,12.0,6,False,
27235,GCGS0074,USA,2009.0,0.25,102,367.0,206.0,13.0,3,False,
27236,GCGS0230,USA,2010.0,8.0,50,1006.0,205.0,187.0,6,False,
27237,GCGS0038,USA,2009.0,8.0,50,1008.0,317.0,367.0,4,False,
27238,GCGS0018,USA,2009.0,8.0,50,1006.0,205.0,187.0,6,False,
27239,GCGS0226,USA,2010.0,16.0,50,1006.0,205.0,187.0,6,False,
27240,GCGS0098,USA,2010.0,16.0,50,1006.0,205.0,187.0,6,False,
27241,GCGS0126,USA,2010.0,0.25,50,1006.0,205.0,187.0,6,False,
27242,GCGS0128,USA,2010.0,8.0,50,1008.0,317.0,367.0,4,False,
27243,GCGS0174,USA,2010.0,16.0,50,1006.0,205.0,187.0,6,False,
27244,GCGS0204,USA,2010.0,8.0,50,1006.0,205.0,187.0,6,False,
27245,GCGS0083,USA,2009.0,0.5,50,368.0,11.0,13.0,3,False,
27247,GCGS0228,USA,2009.0,2.0,50,,11.0,188.0,3,False,
27248,GCGS0176,USA,2010.0,16.0,50,1006.0,205.0,187.0,6,False,
27249,GCGS0224,USA,2009.0,8.0,50,1006.0,205.0,187.0,6,False,
27250,GCGS0156,USA,2010.0,16.0,50,1006.0,205.0,187.0,6,False,
27251,GCGS0084,USA,2009.0,1.0,50,368.0,11.0,13.0,3,False,
27252,GCGS0202,USA,2009.0,8.0,50,1006.0,205.0,187.0,6,False,
27253,GCGS0136,USA,2010.0,8.0,50,1008.0,317.0,367.0,4,False,
