,index,ID,LIN,Lineage,country,isolate,year,mydata,africa
0,1,2855,6_0_1_0_1_0_0_0_0_0_0,6_0_1,USA,FA1090,1980.0,N,N
1,2,13685,0_2_0_1_92_0_0_0_0_0_0,0_2_0,South Korea,NCCP11945,2005.0,N,N
2,3,14729,0_0_0_0_0_0_0_0_0_0_0,0_0_0,USA,MS-11,1960.0,N,N
3,4,15698,8_1_0_3_1_0_0_0_0_0_0,8_1_0,USA,DGI2,,N,N
4,5,15935,0_12_8_0_0_0_0_0_0_1_0,0_12_8,USA,PID24,,N,N
5,6,15936,0_12_8_0_0_0_0_0_0_0_0,0_12_8,USA,DGI18,,N,N
6,7,21065,0_2_17_0_8_0_0_0_0_0_0,0_2_17,Unknown,TCDC-NG08107,2008.0,N,N
7,8,21066,8_1_0_1_1_0_0_0_0_0_0,8_1_0,Unknown,PID18,,N,N
8,9,21067,0_0_7_0_0_0_0_0_0_0_0,0_0_7,Unknown,1291,,N,N
9,10,21068,1_10_0_0_0_0_0_0_0_0_0,1_10_0,Unknown,PID1,,N,N
10,11,21070,6_0_0_0_0_0_0_0_0_0_0,6_0_0,Unknown,F62,,N,N
11,12,21071,0_2_65_0_0_0_0_0_0_0_0,0_2_65,Unknown,SK-92-679,,N,N
12,13,21072,,,Unknown,SK-93-1035,,N,N
13,14,21073,1_8_5_0_1_2_0_0_0_0_0,1_8_5,Unknown,PID332,,N,N
14,15,26827,8_1_0_0_0_0_0_0_0_0_0,8_1_0,Ireland,12028_2010,2010.0,N,N
15,16,27090,,,UK [England],S339,1997.0,N,N
16,17,27091,26_0_0_0_1_0_0_0_1_0_0,26_0_0,UK [England],S405,1997.0,N,N
17,18,27092,,,UK [England],S364,1997.0,N,N
18,19,27093,26_0_0_0_1_0_0_0_7_1_0,26_0_0,UK [England],S359,1997.0,N,N
19,20,27094,,,UK [England],S349,1997.0,N,N
20,21,27095,,,UK [England],S492,1997.0,N,N
21,22,27096,,,UK [England],S461,1997.0,N,N
22,23,27097,,,UK [England],S511,1997.0,N,N
23,24,27098,,,UK [England],NS028,1999.0,N,N
24,25,27099,26_0_0_0_3_0_0_0_0_0_0,26_0_0,Unknown,ERR029268,,N,N
25,26,27100,,,UK [England],S346,1997.0,N,N
26,27,27101,,,Unknown,ERR049036,,N,N
27,28,27102,,,UK [England],S465,1997.0,N,N
28,29,27103,,,UK [England],S366,1997.0,N,N
29,30,27104,,,UK [England],S526,1997.0,N,N
30,31,27105,,,UK [England],S330,1997.0,N,N
31,32,27106,26_0_0_0_1_0_0_3_0_0_0,26_0_0,UK [England],S343,1997.0,N,N
32,33,27107,,,Unknown,ERR049034,,N,N
33,34,27108,,,UK [England],S203,1996.0,N,N
34,35,27109,,,UK [England],S491,1997.0,N,N
35,36,27110,26_0_0_0_1_0_0_1_1_0_0,26_0_0,UK [England],S493,1997.0,N,N
36,37,27111,,,UK [England],S329,1997.0,N,N
37,38,27112,,,UK [England],S358,1997.0,N,N
38,39,27113,,,UK [England],S449,1997.0,N,N
39,40,27114,,,UK [England],S105,1995.0,N,N
40,41,27115,,,UK [England],S361,1997.0,N,N
41,42,27116,,,UK [England],S319,1997.0,N,N
42,43,27117,,,UK [England],S453,1997.0,N,N
43,44,27118,,,UK [England],S158,1996.0,N,N
44,45,27119,26_0_0_0_1_0_0_0_0_12_0,26_0_0,UK [England],S276,1996.0,N,N
45,46,27120,,,UK [England],NS008,1999.0,N,N
46,47,27121,26_0_0_0_1_0_0_0_0_1_0,26_0_0,UK [England],S206,1996.0,N,N
47,48,27122,,,UK [England],S092,1995.0,N,N
48,49,27123,,,UK [England],NS031,1999.0,N,N
49,50,27124,26_0_0_0_1_0_0_0_13_0_0,26_0_0,UK [England],S283,1996.0,N,N
50,51,27125,26_0_0_0_1_0_0_0_0_6_0,26_0_0,UK [England],S280,1996.0,N,N
51,52,27126,26_0_0_0_1_0_0_0_0_19_0,26_0_0,UK [England],S292,1996.0,N,N
52,53,27127,,,UK [England],NS056,1999.0,N,N
53,54,27128,,,UK [England],S096,1995.0,N,N
54,55,27129,,,UK [England],S509,1997.0,N,N
55,56,27130,,,UK [England],S320,1997.0,N,N
56,57,27131,,,UK [England],S079,1995.0,N,N
57,58,27132,,,UK [England],S446,1997.0,N,N
58,59,27133,26_0_0_0_1_0_0_0_2_0_0,26_0_0,UK [England],S081,1995.0,N,N
59,60,27134,,,UK [England],S448,1997.0,N,N
60,61,27135,,,UK [England],S488,1997.0,N,N
61,62,27136,,,UK [England],S481,1997.0,N,N
62,63,27137,26_0_0_0_1_0_0_2_0_0_0,26_0_0,UK [England],S427,1997.0,N,N
63,64,27138,,,UK [England],S352,1997.0,N,N
64,65,27139,26_0_0_0_1_0_0_0_0_14_0,26_0_0,UK [England],S278,1996.0,N,N
65,66,27140,26_0_0_0_1_0_0_5_0_0_0,26_0_0,UK [England],S058,1995.0,N,N
66,67,27141,,,UK [England],S041,1995.0,N,N
67,68,27142,26_0_0_0_1_0_0_0_0_1_0,26_0_0,UK [England],S207,1996.0,N,N
68,69,27143,26_0_0_0_1_0_0_4_0_0_0,26_0_0,Unknown,ERR029248,,N,N
69,70,27144,,,UK [England],S458,1997.0,N,N
70,71,27145,,,UK [England],S377,1997.0,N,N
71,72,27146,26_0_0_0_1_0_1_0_0_0_0,26_0_0,UK [England],S474,1997.0,N,N
72,73,27147,26_0_0_0_1_0_0_0_7_0_0,26_0_0,UK [England],S350,1997.0,N,N
73,74,27148,26_0_0_0_1_0_0_0_0_24_0,26_0_0,UK [England],S151,1996.0,N,N
74,75,27149,,,UK [England],S310,1997.0,N,N
75,76,27150,26_0_0_0_1_0_0_0_0_5_0,26_0_0,UK [England],S106,1995.0,N,N
76,77,27151,,,UK [England],S360,1997.0,N,N
77,78,27152,,,UK [England],S153a,1996.0,N,N
78,79,27153,26_0_0_0_1_0_0_0_10_0_0,26_0_0,UK [England],S201,1996.0,N,N
79,80,27154,26_0_0_0_1_0_0_0_0_15_0,26_0_0,UK [England],S281,1996.0,N,N
80,81,27155,,,UK [England],NS105,2000.0,N,N
81,82,27156,26_0_0_0_1_0_0_0_0_11_0,26_0_0,UK [England],S302,1996.0,N,N
82,83,27157,26_0_0_0_1_0_0_0_14_0_0,26_0_0,UK [England],S135,1996.0,N,N
83,84,27158,,,UK [England],S464,1997.0,N,N
84,85,27159,26_0_0_0_1_0_0_0_0_20_0,26_0_0,UK [England],S073,1995.0,N,N
85,86,27160,,,UK [England],S515,1997.0,N,N
86,87,27161,,,UK [England],S353,1997.0,N,N
87,88,27162,26_0_0_0_1_1_0_0_0_0_0,26_0_0,UK [England],S006,1995.0,N,N
