Selected	index	ID	LINcode (N. gonorrhoeae cgMLST v2)	LINcode (N. gonorrhoeae cgMLST v2)[10]	LINcode (N. gonorrhoeae cgMLST v2)[1]	LINcode (N. gonorrhoeae cgMLST v2)[2]	LINcode (N. gonorrhoeae cgMLST v2)[3]	LINcode (N. gonorrhoeae cgMLST v2)[4]	LINcode (N. gonorrhoeae cgMLST v2)[5]	LINcode (N. gonorrhoeae cgMLST v2)[6]	LINcode (N. gonorrhoeae cgMLST v2)[7]	LINcode (N. gonorrhoeae cgMLST v2)[8]	LINcode (N. gonorrhoeae cgMLST v2)[9]	country	isolate	year
	1	31966	29_0_0_0_0_0_0_0_0_0_0	29_0_0_0_0_0_0_0_0_0	29	29_0	29_0_0	29_0_0_0	29_0_0_0_0	29_0_0_0_0_0	29_0_0_0_0_0_0	29_0_0_0_0_0_0_0	29_0_0_0_0_0_0_0_0	The Gambia	02_225	1989
	2	31967	0_0_8_0_1_0_0_0_0_0_0	0_0_8_0_1_0_0_0_0_0	0	0_0	0_0_8	0_0_8_0	0_0_8_0_1	0_0_8_0_1_0	0_0_8_0_1_0_0	0_0_8_0_1_0_0_0	0_0_8_0_1_0_0_0_0	South Africa	02_227	1990
	3	31968	1_7_1_0_0_0_0_0_0_0_0	1_7_1_0_0_0_0_0_0_0	1	1_7	1_7_1	1_7_1_0	1_7_1_0_0	1_7_1_0_0_0	1_7_1_0_0_0_0	1_7_1_0_0_0_0_0	1_7_1_0_0_0_0_0_0	South Africa	02_228	1991
	4	31969	0_0_32_0_0_0_0_0_0_0_0	0_0_32_0_0_0_0_0_0_0	0	0_0	0_0_32	0_0_32_0	0_0_32_0_0	0_0_32_0_0_0	0_0_32_0_0_0_0	0_0_32_0_0_0_0_0	0_0_32_0_0_0_0_0_0	South Africa	02_229	1991
	5	31970	34_0_0_1_0_0_0_0_0_0_0	34_0_0_1_0_0_0_0_0_0	34	34_0	34_0_0	34_0_0_1	34_0_0_1_0	34_0_0_1_0_0	34_0_0_1_0_0_0	34_0_0_1_0_0_0_0	34_0_0_1_0_0_0_0_0	Tanzania	02_230	1992
	6	31971	0_2_14_0_0_0_0_0_0_0_0	0_2_14_0_0_0_0_0_0_0	0	0_2	0_2_14	0_2_14_0	0_2_14_0_0	0_2_14_0_0_0	0_2_14_0_0_0_0	0_2_14_0_0_0_0_0	0_2_14_0_0_0_0_0_0	Cape Verde	989000020	1998
	7	31972	1_1_27_0_1_0_0_0_0_0_0	1_1_27_0_1_0_0_0_0_0	1	1_1	1_1_27	1_1_27_0	1_1_27_0_1	1_1_27_0_1_0	1_1_27_0_1_0_0	1_1_27_0_1_0_0_0	1_1_27_0_1_0_0_0_0	Cape Verde	989000035	1998
	8	31973	0_12_5_0_0_0_0_0_1_0_0	0_12_5_0_0_0_0_0_1_0	0	0_12	0_12_5	0_12_5_0	0_12_5_0_0	0_12_5_0_0_0	0_12_5_0_0_0_0	0_12_5_0_0_0_0_0	0_12_5_0_0_0_0_0_1	The Gambia	989000005	1998
	9	31974	0_12_5_0_0_0_0_0_0_0_0	0_12_5_0_0_0_0_0_0_0	0	0_12	0_12_5	0_12_5_0	0_12_5_0_0	0_12_5_0_0_0	0_12_5_0_0_0_0	0_12_5_0_0_0_0_0	0_12_5_0_0_0_0_0_0	The Gambia	989000046	1998
	10	31975	11_0_3_0_1_0_0_0_0_0_0	11_0_3_0_1_0_0_0_0_0	11	11_0	11_0_3	11_0_3_0	11_0_3_0_1	11_0_3_0_1_0	11_0_3_0_1_0_0	11_0_3_0_1_0_0_0	11_0_3_0_1_0_0_0_0	The Gambia	989000266	1998
