id,isolate,country,year,'mtrR,NEIS1753(PenA),NG_23S,NG_gyrA,NG_parC,NG_ponA,NG_porB,ST(NG STAR),CC(NG STAR)
846,F980,Nigeria,2000,,,,,,,,,
2597,F982,Nigeria,2000,,,,,,,,,
2609,C774,Malawi,1987,,,,,,,,,
2610,D779,Malawi,1991,,,,,,,,,
2858,22159,South Africa,,,,,,,,,,
8969,F981,Nigeria,2000,,,,,,,,,
31966,02_225,The Gambia,1989,80,533,100,100,1,100,100,2557,20
31967,02_227,South Africa,1990,1,21,100,100,7,1,8,8,139
31968,02_228,South Africa,1991,18,18,14,100,7,100,14,644,
31969,02_229,South Africa,1991,10,20,100,100,1,1,14,349,
31970,02_230,Tanzania,1992,14,22,100,100,7,100,14,2,
31971,989000020,Cape Verde,1998,1,294,100,100,2,100,13,350,520
31972,989000035,Cape Verde,1998,10,294,100,100,100,100,3,157,42
31973,989000005,The Gambia,1998,290,23,100,100,1,1,14,2155,
31974,989000046,The Gambia,1998,18,23,100,100,1,1,14,351,
31975,989000266,The Gambia,1998,75,20,100,100,2,100,14,629,190
31976,989000418,Morocco,1998,19,534,100,100,2,1,8,1534,139
31977,989000421,Morocco,1998,1,,100,100,2,1,8,,
31978,989000016,Tanzania,1998,81,23,100,100,2,100,100,645,1958
31979,999000083,Uganda,1999,10,294,100,100,7,100,100,352,352
31980,999000018,Angola,1999,11,20,100,100,2,100,100,153,190
31981,999000055,The Gambia,1999,11,20,100,100,2,100,100,153,190
31982,999000051,Guinea,1999,82,535,100,100,2,100,3,2008,520
31983,999000073,Morocco,1999,83,504,100,100,7,100,100,1535,352
31984,08_590_00123,Guinea-Bissau,2007,10,228,100,100,7,100,3,353,42
31985,08_590_125,Guinea-Bissau,2007,10,228,100,100,7,100,3,353,42
31986,08_590_00126,Guinea-Bissau,2007,57,23,100,100,1,1,14,646,
31987,08_590_00127,Guinea-Bissau,2007,10,228,100,100,7,100,3,353,42
31988,08_590_00128,Guinea-Bissau,2007,82,166,100,100,2,100,13,647,55
31989,08_590_00129,Guinea-Bissau,2007,10,228,100,100,7,100,3,353,42
31990,08_590_00130,Guinea-Bissau,2007,10,228,100,100,7,100,8,354,352
31991,08_590_00131,Guinea-Bissau,2007,57,166,100,100,2,100,3,648,55
31992,08_590_00132,Guinea-Bissau,2007,82,166,100,100,2,100,13,647,55
31993,08_590_00133,Guinea-Bissau,2007,10,228,100,100,7,100,3,353,42
31994,08_590_00134,Guinea-Bissau,2007,82,166,100,100,2,100,13,647,55
31995,08_590_00135,Guinea-Bissau,2007,82,166,100,100,2,100,13,647,55
31996,08_590_00136,Guinea-Bissau,2007,18,23,100,100,100,100,3,355,301
31997,08_590_00141,Guinea-Bissau,2007,84,23,100,100,100,100,14,649,
31998,08_590_00142,Guinea-Bissau,2007,57,166,100,100,2,100,3,648,55
31999,08_590_00143,Guinea-Bissau,2007,10,166,100,1,18,100,100,356,1771
32000,08_590_00144,Guinea-Bissau,2007,85,17,100,100,2,100,8,650,
32001,08_590_00145,Guinea-Bissau,2007,10,294,100,100,2,100,14,357,42
32002,08_590_00146,Guinea-Bissau,2007,18,23,100,100,100,100,3,355,301
32007,08_590_00153,Guinea-Bissau,2007,35,166,100,1,18,100,3,360,
32008,08_590_00154,Guinea-Bissau,2007,10,228,100,100,7,100,3,353,42
32009,08_590_00156,Guinea-Bissau,2007,82,228,100,100,7,100,14,651,
32010,08_590_00157,Guinea-Bissau,2007,10,294,100,100,100,100,3,157,42
32011,08_590_00138_pg_r,Guinea-Bissau,2007,54,17,100,100,2,100,8,652,1958
36238,51212,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36239,T004,Kenya,,10,294,100,100,7,100,100,352,352
36240,52262,Kenya,2012,95,285,100,1,22,1,13,1497,958
36241,T006,Kenya,2013,54,515,100,100,2,100,14,1541,1958
36242,T007,Kenya,,10,285,100,7,7,1,13,2559,1603
36243,57547,Kenya,2012,10,228,100,1,49,1,100,1583,1054
36244,56873,Kenya,2012,10,285,100,1,49,1,100,1054,1054
36245,44568,Kenya,2010,96,285,100,1,49,1,13,1498,958
36246,61467,Kenya,2013,97,285,100,1,49,1,100,1537,1054
36247,62017,Kenya,2013,98,20,100,1,49,1,100,1132,1054
36248,43305,Kenya,2010,10,285,100,1,49,1,100,1054,1054
36249,51451,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36250,58767,Kenya,2012,57,294,100,7,7,1,100,1538,
36251,63179,Kenya,2013,10,23,100,1,22,100,100,1271,1271
36252,T032,Kenya,,99,294,100,100,7,100,14,2560,178
36253,61450,Kenya,2013,10,285,100,100,49,1,100,1584,1054
36254,T034,Kenya,,10,285,100,7,22,1,100,2561,1054
36255,45453,Kenya,2010,10,285,100,1,49,1,100,1054,1054
36256,45676,Kenya,2010,10,285,100,1,49,1,100,1054,1054
36257,51960,Kenya,2012,18,294,100,100,2,100,13,1539,3087
36258,T041,Kenya,,10,285,100,1,49,1,14,1593,1054
36259,61580,Kenya,2013,10,285,100,1,49,1,100,1054,1054
36260,T047,Kenya,,18,515,100,100,2,100,14,1549,3087
36261,48871,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36262,T049,Kenya,,18,515,100,100,2,100,14,1549,3087
36263,48501,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36264,T052,Kenya,,18,515,100,100,2,100,14,1549,3087
36265,T053,Kenya,,10,285,100,1,49,1,100,1054,1054
36266,60096,Kenya,2012,57,285,100,1,49,1,14,1540,1054
36267,55496,Kenya,2012,1,285,100,1,22,1,13,958,958
36268,T060,Kenya,2013,54,515,100,100,2,100,14,1541,1958
36269,52263,Kenya,2012,101,294,100,100,7,1,3,1585,
36270,59688,Kenya,2012,54,228,100,100,1,100,100,1645,20
36271,50659,Kenya,2011,76,20,,14,2,1,100,,
36272,T064,Kenya,,102,294,100,1,49,1,100,2562,1054
36273,55798,Kenya,2012,101,294,100,100,7,1,100,1542,352
36274,63518,Kenya,2013,98,20,100,1,49,1,100,1132,1054
36275,51468,Kenya,2011,57,285,100,1,49,1,14,1540,1054
36276,51645,Kenya,2011,69,285,100,1,22,1,100,1496,958
36277,59012,Kenya,2012,98,20,100,1,49,1,100,1132,1054
36278,T071,Kenya,,69,285,100,1,22,1,13,1543,958
36279,60243,Kenya,2013,69,285,100,1,22,1,13,1543,958
36280,47956,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36281,47686,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36282,45029,Kenya,2010,10,20,100,100,2,100,13,1,190
36283,47147,Kenya,2011,10,285,100,1,49,1,100,1054,1054
36284,44593,Kenya,2010,10,285,100,1,49,1,100,1054,1054
36285,43346,Kenya,2010,1,285,100,1,22,1,13,958,958
36286,T083,Kenya,,1,285,100,1,22,1,100,1494,958
36287,43781,Kenya,2010,96,285,100,1,49,1,13,1498,958
36288,T087,Kenya,,57,285,100,1,49,1,100,1550,1054
36289,42974,Kenya,2010,1,285,100,1,22,1,13,958,958
36290,47983,Kenya,2011,1,285,100,1,22,1,100,1494,958
36291,60755,Kenya,2013,10,294,100,7,7,1,13,1586,1603
36292,60709,Kenya,2013,69,285,100,1,22,1,13,1543,958
36293,43000,Kenya,2010,10,285,100,1,49,1,13,1495,1054
36294,43038,Kenya,2010,10,285,100,1,49,1,13,1495,1054
36295,46146,Kenya,2010,1,285,100,1,22,1,13,958,958
