id,isolate,country,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),,,,,,,,,,,LIN2,LIN3,LIN4
846,F980,Nigeria,,,,,,,,,,,,,,_,__,___
2597,F982,Nigeria,,,,,,,,,,,,,,_,__,___
2609,C774,Malawi,,,,,,,,,,,,,,_,__,___
2610,D779,Malawi,,,,,,,,,,,,,,_,__,___
2858,22159,South Africa,,,,,,,,,,,,,,_,__,___
8969,F981,Nigeria,,,,,,,,,,,,,,_,__,___
31966,02_225,The Gambia,942,29_0_0_0_0_0_0_0_0_0_0,29,0,0,0,0,0,0,0,0,0,0,29_0,29_0_0,29_0_0_0
31967,02_227,South Africa,943,0_0_8_0_1_0_0_0_0_0_0,0,0,8,0,1,0,0,0,0,0,0,0_0,0_0_8,0_0_8_0
31968,02_228,South Africa,944,1_7_1_0_0_0_0_0_0_0_0,1,7,1,0,0,0,0,0,0,0,0,1_7,1_7_1,1_7_1_0
31969,02_229,South Africa,945,0_0_32_0_0_0_0_0_0_0_0,0,0,32,0,0,0,0,0,0,0,0,0_0,0_0_32,0_0_32_0
31970,02_230,Tanzania,946,34_0_0_1_0_0_0_0_0_0_0,34,0,0,1,0,0,0,0,0,0,0,34_0,34_0_0,34_0_0_1
31971,989000020,Cape Verde,947,0_2_14_0_0_0_0_0_0_0_0,0,2,14,0,0,0,0,0,0,0,0,0_2,0_2_14,0_2_14_0
31972,989000035,Cape Verde,948,1_1_27_0_1_0_0_0_0_0_0,1,1,27,0,1,0,0,0,0,0,0,1_1,1_1_27,1_1_27_0
31973,989000005,The Gambia,949,0_12_5_0_0_0_0_0_1_0_0,0,12,5,0,0,0,0,0,1,0,0,0_12,0_12_5,0_12_5_0
31974,989000046,The Gambia,950,0_12_5_0_0_0_0_0_0_0_0,0,12,5,0,0,0,0,0,0,0,0,0_12,0_12_5,0_12_5_0
31975,989000266,The Gambia,951,11_0_3_0_1_0_0_0_0_0_0,11,0,3,0,1,0,0,0,0,0,0,11_0,11_0_3,11_0_3_0
31976,989000418,Morocco,952,0_2_7_2_0_0_0_0_0_0_0,0,2,7,2,0,0,0,0,0,0,0,0_2,0_2_7,0_2_7_2
31977,989000421,Morocco,953,0_0_4_0_0_0_0_0_0_0_0,0,0,4,0,0,0,0,0,0,0,0,0_0,0_0_4,0_0_4_0
31978,989000016,Tanzania,954,1_4_0_0_0_0_0_0_0_0_0,1,4,0,0,0,0,0,0,0,0,0,1_4,1_4_0,1_4_0_0
31979,999000083,Uganda,955,1_1_32_0_0_0_0_0_0_0_0,1,1,32,0,0,0,0,0,0,0,0,1_1,1_1_32,1_1_32_0
31980,999000018,Angola,956,1_1_22_0_0_0_0_0_0_1_0,1,1,22,0,0,0,0,0,0,1,0,1_1,1_1_22,1_1_22_0
31981,999000055,The Gambia,957,1_1_22_0_0_0_0_0_1_0_0,1,1,22,0,0,0,0,0,1,0,0,1_1,1_1_22,1_1_22_0
31982,999000051,Guinea,958,0_2_56_0_0_0_0_0_0_0_0,0,2,56,0,0,0,0,0,0,0,0,0_2,0_2_56,0_2_56_0
31983,999000073,Morocco,959,5_1_0_0_0_0_0_0_0_0_0,5,1,0,0,0,0,0,0,0,0,0,5_1,5_1_0,5_1_0_0
