id,isolate,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LIN1,LIN2,LIN3,LIN4
31966,02_225,942,29_0_0_0_0_0_0_0_0_0_0,29,29_0,29_0_0,29_0_0_0
31967,02_227,943,0_0_8_0_1_0_0_0_0_0_0,0,0_0,0_0_8,0_0_8_0
31968,02_228,944,1_7_1_0_0_0_0_0_0_0_0,1,1_7,1_7_1,1_7_1_0
31969,02_229,945,0_0_32_0_0_0_0_0_0_0_0,0,0_0,0_0_32,0_0_32_0
31970,02_230,946,34_0_0_1_0_0_0_0_0_0_0,34,34_0,34_0_0,34_0_0_1
31971,989000020,947,0_2_14_0_0_0_0_0_0_0_0,0,0_2,0_2_14,0_2_14_0
31972,989000035,948,1_1_27_0_1_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_0
31973,989000005,949,0_12_5_0_0_0_0_0_1_0_0,0,0_12,0_12_5,0_12_5_0
31974,989000046,950,0_12_5_0_0_0_0_0_0_0_0,0,0_12,0_12_5,0_12_5_0
31975,989000266,951,11_0_3_0_1_0_0_0_0_0_0,11,11_0,11_0_3,11_0_3_0
31976,989000418,952,0_2_7_2_0_0_0_0_0_0_0,0,0_2,0_2_7,0_2_7_2
31977,989000421,953,0_0_4_0_0_0_0_0_0_0_0,0,0_0,0_0_4,0_0_4_0
31978,989000016,954,1_4_0_0_0_0_0_0_0_0_0,1,1_4,1_4_0,1_4_0_0
31979,999000083,955,1_1_32_0_0_0_0_0_0_0_0,1,1_1,1_1_32,1_1_32_0
31980,999000018,956,1_1_22_0_0_0_0_0_0_1_0,1,1_1,1_1_22,1_1_22_0
31981,999000055,957,1_1_22_0_0_0_0_0_1_0_0,1,1_1,1_1_22,1_1_22_0
31982,999000051,958,0_2_56_0_0_0_0_0_0_0_0,0,0_2,0_2_56,0_2_56_0
31983,999000073,959,5_1_0_0_0_0_0_0_0_0_0,5,5_1,5_1_0,5_1_0_0
31984,08_590_00123,960; 38615,1_1_17_0_1_0_0_0_1_0_0,1,1_1,1_1_17,1_1_17_0
31985,08_590_125,961; 38616,1_1_17_0_2_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_0
31986,08_590_00126,962,0_12_5_0_1_0_0_0_0_0_0,0,0_12,0_12_5,0_12_5_0
31987,08_590_00127,963; 38617,1_1_17_0_1_0_0_1_0_0_0,1,1_1,1_1_17,1_1_17_0
31988,08_590_00128,964,1_1_38_0_1_0_0_0_0_0_0,1,1_1,1_1_38,1_1_38_0
31989,08_590_00129,965; 38618,1_1_17_0_1_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_0
31990,08_590_00130,966; 38619,1_1_17_0_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_0
31991,08_590_00131,967,15_0_0_0_0_0_0_0_0_0_0,15,15_0,15_0_0,15_0_0_0
31992,08_590_00132,968,1_1_38_0_0_1_0_0_0_0_0,1,1_1,1_1_38,1_1_38_0
31993,08_590_00133,969; 38620,1_1_17_0_1_1_0_0_0_0_0,1,1_1,1_1_17,1_1_17_0
31994,08_590_00134,968,1_1_38_0_0_1_0_0_0_0_0,1,1_1,1_1_38,1_1_38_0
31995,08_590_00135,970,1_1_38_0_0_0_0_0_0_0_0,1,1_1,1_1_38,1_1_38_0
31996,08_590_00136,971,0_9_0_3_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_3
31997,08_590_00141,972,0_9_0_1_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_1
31998,08_590_00142,973,15_0_0_0_1_0_0_0_0_0_0,15,15_0,15_0_0,15_0_0_0
31999,08_590_00143,974,1_1_36_0_0_0_0_0_0_0_0,1,1_1,1_1_36,1_1_36_0
32000,08_590_00144,975,8_0_0_0_0_0_0_0_0_0_0,8,8_0,8_0_0,8_0_0_0
32001,08_590_00145,976,11_0_1_1_0_0_0_0_0_0_0,11,11_0,11_0_1,11_0_1_1
32002,08_590_00146,977,0_9_0_2_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_2
32007,08_590_00153,982,1_1_36_0_1_0_0_0_0_0_0,1,1_1,1_1_36,1_1_36_0
32008,08_590_00154,983; 38623,1_1_17_0_1_2_0_0_0_0_0,1,1_1,1_1_17,1_1_17_0
32009,08_590_00156,984,1_1_17_1_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_1
32010,08_590_00157,985,1_1_27_3_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_3
32011,08_590_00138_pg_r,986,8_0_0_0_1_0_0_0_0_0_0,8,8_0,8_0_0,8_0_0_0
36238,51212,1066,0_16_0_1_12_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36239,T004,1067,1_1_11_1_0_0_0_0_0_0_0,1,1_1,1_1_11,1_1_11_1
36240,52262,1068,0_0_47_5_13_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
36241,T006,1069,0_18_6_0_0_0_0_0_0_0_0,0,0_18,0_18_6,0_18_6_0
36242,T007,1070,0_0_33_46_3_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
36243,57547,1071,0_16_0_1_5_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36244,56873,1072,0_16_0_2_2_2_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
36245,44568,1073,0_0_47_9_0_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_9
36246,61467,1074,0_16_0_1_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36247,62017,1075,0_16_4_0_1_3_0_0_1_0_0,0,0_16,0_16_4,0_16_4_0
36248,43305,1076,0_16_0_2_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
36249,51451,1077,0_16_0_1_4_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36250,58767,1078,0_0_33_46_9_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
36251,63179,1079,0_2_55_0_0_0_0_0_0_0_0,0,0_2,0_2_55,0_2_55_0
36252,T032,1080,1_1_11_0_0_0_0_0_0_0_0,1,1_1,1_1_11,1_1_11_0
36253,61450,1081,0_16_0_1_9_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36254,T034,1082,0_0_33_46_6_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
36255,45453,1083,0_16_0_2_2_1_0_0_0_1_0,0,0_16,0_16_0,0_16_0_2
36256,45676,1084; 1110,0_16_0_1_0_2_0_1_0_0_0,0,0_16,0_16_0,0_16_0_1
36257,51960,1085,11_0_2_2_0_0_0_0_0_0_0,11,11_0,11_0_2,11_0_2_2
36258,T041,1086,0_16_0_1_4_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36259,61580,1087,0_16_0_1_0_3_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36260,T047,,,,,,
36261,48871,,,,,,
36262,T049,1088; 1090,0_18_6_1_0_0_0_0_0_1_0,0,0_18,0_18_6,0_18_6_1
36263,48501,1089,0_16_0_2_1_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
36264,T052,1090,0_18_6_1_0_0_0_0_0_1_0,0,0_18,0_18_6,0_18_6_1
36265,T053,1091,0_16_0_1_8_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36266,60096,1092,0_16_0_3_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_3
36267,55496,1093,0_0_47_5_11_0_0_1_0_0_0,0,0_0,0_0_47,0_0_47_5
36268,T060,1094,0_18_6_0_0_0_0_0_0_1_0,0,0_18,0_18_6,0_18_6_0
36269,52263,1095,0_16_0_6_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_6
36270,59688,1096,0_0_36_0_1_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_0
36271,50659,1097,0_16_1_2_0_0_0_0_0_0_0,0,0_16,0_16_1,0_16_1_2
36272,T064,1098,0_16_0_1_15_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36273,55798,1099,0_16_0_6_0_0_0_0_0_1_0,0,0_16,0_16_0,0_16_0_6
36274,63518,1100,0_16_4_0_5_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
36275,51468,1101,0_16_0_3_0_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_3
36276,51645,1102,0_0_47_5_7_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
36277,59012,1103,0_16_4_0_1_3_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
36278,T071,1104,0_0_47_10_1_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
36279,60243,1105,0_0_47_10_1_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
36280,47956,1106,0_16_0_1_8_0_0_0_0_1_0,0,0_16,0_16_0,0_16_0_1
36281,47686,1107,0_16_0_1_4_0_0_0_1_0_0,0,0_16,0_16_0,0_16_0_1
36282,45029,1108,0_12_7_4_0_0_0_0_0_2_0,0,0_12,0_12_7,0_12_7_4
36283,47147,1109,0_16_0_2_2_1_0_0_0_3_0,0,0_16,0_16_0,0_16_0_2
36284,44593,1110,0_16_0_1_0_2_0_1_0_0_0,0,0_16,0_16_0,0_16_0_1
36285,43346,1111,0_0_47_5_11_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
